21-48-01.005000,----------
21-48-13.307000,[R]: 1 
21-48-13.308000,S 1 	RSSI: 44
21-48-13.308000,[R]: 2 
21-48-13.309000,[R]: 50 
21-48-13.309000,[R]: 1 
21-48-13.310000,S 1 	RSSI: 44
21-48-13.311000,[R]: 2 
21-48-13.312000,[R]: 50 
21-48-13.312000,[R]: 1 
21-48-13.313000,S 1 	RSSI: 44
21-48-13.314000,[R]: 2 
21-48-13.318000,[R]: 50 
21-48-13.324000,[R]: 1 
21-48-13.326000,S 1 	RSSI: 44
21-48-13.332000,[R]: 2 
21-48-13.336000,[R]: 50 
21-48-13.348000,[R]: 1 
21-48-13.351000,S 1 	RSSI: 44
21-48-13.356000,[R]: 2 
21-48-13.359000,[R]: 50 
21-48-13.367000,[R]: 1 
21-48-13.368000,S 1 	RSSI: 44
21-48-13.369000,[R]: 2 
21-48-13.369000,[R]: 50 
21-48-13.371000,[R]: 1 
21-48-13.372000,S 1 	RSSI: 44
21-48-13.373000,[R]: 2 
21-48-13.373000,[R]: 50 
21-48-13.374000,[R]: 1 
21-48-13.379000,S 1 	RSSI: 44
21-48-13.380000,[R]: 2 
21-48-13.381000,[R]: 50 
21-48-13.386000,[R]: 1 
21-48-13.390000,S 1 	RSSI: 44
21-48-13.391000,[R]: 2 
21-48-13.391000,[R]: 50 
21-48-13.392000,[R]: 1 
21-48-13.393000,S 1 	RSSI: 44
21-48-13.396000,[R]: 2 
21-48-13.397000,[R]: 50 
21-48-13.397000,[R]: 1 
21-48-13.398000,S 1 	RSSI: 44
21-48-13.398000,[R]: 2 
21-48-13.401000,[R]: 50 
21-48-13.403000,[R]: 1 
21-48-13.406000,S 1 	RSSI: 44
21-48-13.408000,[R]: 2 
21-48-13.418000,[R]: 50 
21-48-13.419000,[R]: 1 
21-48-13.420000,S 1 	RSSI: 44
21-48-13.423000,[R]: 2 
21-48-13.424000,[R]: 50 
21-48-13.430000,[R]: 1 
21-48-13.431000,S 1 	RSSI: 44
21-48-13.432000,[R]: 2 
21-48-13.433000,[R]: 50 
21-48-13.434000,[R]: 1 
21-48-13.435000,S 1 	RSSI: 44
21-48-13.435000,[R]: 2 
21-48-13.438000,[R]: 50 
21-48-13.439000,[R]: 1 
21-48-13.439000,S 1 	RSSI: 44
21-48-13.440000,[R]: 2 
21-48-13.440000,[R]: 50 
21-48-13.441000,[R]: 1 
21-48-13.441000,S 1 	RSSI: 44
21-48-13.442000,[R]: 2 
21-48-13.442000,[R]: 50 
21-48-13.443000,[R]: 1 
21-48-13.443000,S 1 	RSSI: 44
21-48-13.444000,[R]: 2 
21-48-13.444000,[R]: 50 
21-48-13.445000,[R]: 1 
21-48-13.446000,S 1 	RSSI: 44
21-48-13.453000,[R]: 2 
21-48-13.453000,[R]: 50 
21-48-13.454000,[R]: 1 
21-48-13.457000,S 1 	RSSI: 44
21-48-13.457000,[R]: 2 
21-48-13.458000,[R]: 50 
21-48-13.459000,[R]: 1 
21-48-13.460000,S 1 	RSSI: 44
21-48-13.460000,[R]: 2 
21-48-13.463000,[R]: 50 
21-48-13.464000,[R]: 1 
21-48-13.465000,S 1 	RSSI: 44
21-48-13.465000,[R]: 2 
21-48-13.465000,[R]: 50 
21-48-13.466000,[R]: 20 
21-48-13.467000,[R]: 1 
21-48-13.468000,S 1 	RSSI: 44
21-48-13.469000,[R]: 2 
21-48-13.470000,[R]: 50 
21-48-13.476000,[R]: 1 
21-48-13.487000,S 1 	RSSI: 44
21-48-13.488000,[R]: 2 
21-48-13.488000,[R]: 50 
21-48-13.493000,[R]: 1 
21-48-13.496000,S 1 	RSSI: 44
21-48-13.497000,[R]: 2 
21-48-13.497000,[R]: 50 
21-48-13.498000,[R]: 1 
21-48-13.499000,S 1 	RSSI: 44
21-48-13.499000,[R]: 2 
21-48-13.500000,[R]: 50 
21-48-13.501000,[R]: 1 
21-48-13.502000,S 1 	RSSI: 44
21-48-13.503000,[R]: 2 
21-48-13.508000,[R]: 50 
21-48-13.509000,[R]: 1 
21-48-13.510000,S 1 	RSSI: 44
21-48-13.511000,[R]: 2 
21-48-13.513000,[R]: 50 
21-48-13.513000,[R]: 20 
21-48-13.514000,[R]: 1 
21-48-13.514000,S 1 	RSSI: 44
21-48-13.515000,[R]: 2 
