21-45-04.871000,------------------------
21-45-45.925000,S 1 	RSSI: 46
21-45-46.013000,[R]: 50 
21-45-46.028000,S 1 	RSSI: 46
21-45-46.117000,[R]: 50 
21-45-46.130000,S 1 	RSSI: 46
21-45-46.219000,[R]: 50 
21-45-46.233000,S 1 	RSSI: 46
21-45-46.322000,[R]: 50 
21-45-46.336000,S 1 	RSSI: 46
21-45-46.425000,[R]: 50 
21-45-46.440000,S 1 	RSSI: 46
21-45-46.528000,[R]: 50 
21-45-46.542000,S 1 	RSSI: 46
21-45-46.631000,[R]: 50 
21-45-46.645000,S 1 	RSSI: 46
21-45-46.670000,S 1 	RSSI: 46
21-45-46.694000,S 1 	RSSI: 46
21-45-46.734000,[R]: 50 
21-45-46.798000,S 1 	RSSI: 46
21-45-46.810000,S 1 	RSSI: 46
21-45-46.837000,[R]: 50 
21-45-46.912000,S 1 	RSSI: 46
21-45-46.940000,[R]: 50 
21-45-47.016000,S 1 	RSSI: 46
21-45-47.043000,[R]: 50 
21-45-47.119000,S 1 	RSSI: 46
21-45-47.146000,[R]: 50 
21-45-47.209000,[R]: 0 
21-45-47.211000,[R]: 0 
21-45-47.220000,[R]: 50 
21-45-47.486000,[R]: 50 
21-45-47.748000,S 1 	RSSI: 48
21-45-47.752000,[R]: 50 
21-45-47.769000,S 1 	RSSI: 48
21-45-48.017000,[R]: 50 
21-45-48.284000,[R]: 50 
21-45-48.350000,[R]: 0 
21-45-48.354000,S 1 	RSSI: 46
21-45-48.358000,[R]: 50 
21-45-48.456000,S 1 	RSSI: 46
21-45-48.459000,[R]: 50 
21-45-48.560000,S 1 	RSSI: 46
21-45-48.563000,[R]: 50 
21-45-48.663000,S 1 	RSSI: 46
21-45-48.666000,[R]: 50 
21-45-48.765000,S 1 	RSSI: 46
21-45-48.768000,[R]: 50 
21-45-48.868000,S 1 	RSSI: 46
21-45-48.871000,[R]: 50 
21-45-48.959000,S 1 	RSSI: 46
21-45-48.974000,[R]: 50 
21-45-49.035000,[R]: 0 
21-45-49.044000,[R]: 50 
21-45-49.310000,[R]: 50 
21-45-49.540000,S 1 	RSSI: 46
21-45-49.555000,[R]: 0 
21-45-49.559000,[R]: 0 
21-45-49.567000,[R]: 50 
21-45-49.667000,[R]: 0 
21-45-49.674000,[R]: 50 
21-45-49.777000,[R]: 50 
21-45-49.878000,[R]: 50 
21-45-49.891000,S 1 	RSSI: 46
21-45-49.981000,[R]: 50 
21-45-49.995000,S 1 	RSSI: 46
21-45-50.083000,[R]: 50 
21-45-50.097000,S 1 	RSSI: 46
21-45-50.186000,[R]: 50 
21-45-50.201000,S 1 	RSSI: 46
21-45-50.289000,[R]: 50 
21-45-50.303000,S 1 	RSSI: 46
21-45-50.392000,[R]: 50 
21-45-50.407000,S 1 	RSSI: 47
21-45-50.495000,[R]: 50 
21-45-50.510000,S 1 	RSSI: 47
21-45-50.528000,[R]: 0 
21-45-50.537000,[R]: 50 
21-45-50.612000,S 1 	RSSI: 47
21-45-50.639000,[R]: 50 
21-45-50.715000,S 1 	RSSI: 47
21-45-50.743000,[R]: 50 
21-45-50.759000,[R]: 0 
21-45-50.767000,[R]: 50 
21-45-50.819000,S 1 	RSSI: 47
21-45-50.870000,[R]: 50 
21-45-50.921000,S 1 	RSSI: 46
21-45-50.973000,[R]: 50 
21-45-50.986000,S 1 	RSSI: 46
21-45-51.076000,[R]: 50 
21-45-51.090000,S 1 	RSSI: 47
21-45-51.179000,[R]: 50 
21-45-51.193000,S 1 	RSSI: 46
21-45-51.250000,S 1 	RSSI: 46
21-45-51.282000,[R]: 50 
21-45-51.354000,S 1 	RSSI: 46
21-45-51.384000,[R]: 50 
21-45-51.456000,S 1 	RSSI: 46
21-45-51.464000,[R]: 0 
21-45-51.469000,S 1 	RSSI: 47
21-45-51.472000,[R]: 50 
21-45-51.571000,S 1 	RSSI: 47
21-45-51.574000,[R]: 50 
21-45-51.675000,S 1 	RSSI: 47
21-45-51.677000,[R]: 50 
