23-18-15.625,"""Scanner enabled\r\n"""
23-20-33.163,"8 57"""
23-20-33.166,"7 51"""
23-20-33.167,"1 46"""
23-20-33.172,"6 48"""
23-20-33.184, 0 0 0 0 0 0 0 0
23-20-33.185,0 0 44 44 0 0 0 0
23-20-33.186,0 44 0 0 0 0 0 0
23-20-33.187,0 0 0 0 0 0 0 0
23-20-33.188,0 0 0 0 0 0 0 0
23-20-33.196,0 45 63 0 0 0 0 0
23-20-33.197,45 0 0 0 0 0 0 48
23-20-33.198,"0 0 0 0 0 0 0 ""4 51"""
23-20-33.200,"3 61"""
23-20-33.208,"2 46"""
23-20-33.219,"8 55"""
23-20-33.228,"7 51"""
23-20-33.229,"1 46"""
23-20-33.230,"6 48"""
23-20-33.231, 0 0 0 0 0 0 0 0
23-20-33.233,46 0 0 0 0 0 44 44
23-20-33.244,0 0 0 44 0 0 44 0
23-20-33.245,60 44 0 0 0 0 44 46
23-20-33.245,0 0 0 0 0 0 0 0
23-20-33.246,0 0 63 0 0 0 0 0
23-20-33.246,45 44 0 0 0 0 0 48
23-20-33.247,"47 0 0 0""4 51"""
23-20-33.247,"1 46"""
23-20-33.248,"3 60"""
23-20-33.248,"2 46"""
23-20-33.249,"8 53"""
23-20-33.249,"7 51"""
23-20-33.254,"3 60"""
23-20-33.262, 0 0 0 0 0 0 0 0
23-20-33.263,0 0 0 0 0 0 0 0
23-20-33.263,0 0 0 0 0 0 44 0
23-20-33.265,0 0 0 0 0 0 0 0
23-20-33.265,0 0 0 0 0 0 0 0
23-20-33.268,0 0 0 0 0 0 0 0
23-20-33.269,0 0 0 0 0 0 0 0
23-20-33.269,0 0 0 0 0 0 0 0
23-20-33.270,
23-20-33.270,"8 51"""
23-20-33.270,"7 52"""
23-20-33.274,"6 48"""
23-20-33.285,"4 51"""
23-20-33.294,"1 46"""
23-20-33.294,"2 46"""
23-20-33.295,"8 50"""
23-20-33.306, 0 0 55 0 0 0 0 0
23-20-33.307,46 0 0 0 0 44 0 0
23-20-33.308,0 0 0 0 0 0 0 0
23-20-33.308,0 0 0 0 0 0 44 46
23-20-33.309,0 0 0 0 0 0 0 0
23-20-33.309,0 0 63 0 0 0 0 0
23-20-33.310,0 0 0 0 0 0 0 0
23-20-33.311,"0 0 0 0 0 0 0 0""6 48"""
23-20-33.312,"4 51"""
23-20-33.323,"2 46"""
23-20-33.325,"7 52"""
23-20-33.329,"8 49"""
23-20-33.345, 0 0 0 0 0 0 0 0
23-20-33.345,0 0 44 0 0 44 0 0
23-20-33.346,0 0 0 0 0 0 0 0
23-20-33.348,0 0 0 0 0 0 44 46
23-20-33.349,0 0 0 0 0 0 0 0
23-20-33.349,0 0 0 0 0 0 0 0
23-20-33.350,0 0 0 0 0 0 0 0
23-20-33.351,0 0 0 0 0 0 0 0
