20-03-50.643000,-------------------------
20-03-54.466000,[R]: 1 
20-03-54.466000,[R]: 50 
20-03-54.467000,[R]: 2 
20-03-54.468000,[R]: 1 
20-03-54.468000,[R]: 50 
20-03-54.468000,[R]: 2 
20-03-54.469000,[R]: 1 
20-03-54.475000,[R]: 50 
20-03-54.475000,[R]: 2 
20-03-54.476000,[R]: 1 
20-03-54.476000,[R]: 50 
20-03-54.476000,[R]: 2 
20-03-54.477000,[R]: 1 
20-03-54.477000,[R]: 50 
20-03-54.478000,[R]: 2 
20-03-54.482000,[R]: 1 
20-03-54.485000,[R]: 50 
20-03-54.485000,[R]: 2 
20-03-54.486000,[R]: 20 
20-03-54.492000,[R]: 1 
20-03-54.494000,[R]: 50 
20-03-54.495000,[R]: 2 
20-03-54.495000,[R]: 1 
20-03-54.496000,[R]: 50 
20-03-54.497000,[R]: 2 
20-03-54.497000,[R]: 1 
20-03-54.497000,[R]: 50 
20-03-54.498000,[R]: 2 
20-03-54.498000,[R]: 1 
20-03-54.499000,[R]: 50 
20-03-54.499000,[R]: 2 
20-03-54.500000,[R]: 1 
20-03-54.500000,[R]: 50 
20-03-54.501000,[R]: 2 
20-03-54.501000,[R]: 1 
20-03-54.501000,[R]: 50 
20-03-54.531000,[R]: 2 
20-03-54.531000,[R]: 20 
20-03-54.582000,[R]: 1 
20-03-54.582000,[R]: 50 
20-03-54.583000,[R]: 2 
20-03-54.583000,[R]: 1 
20-03-54.584000,[R]: 50 
20-03-54.584000,[R]: 2 
20-03-54.585000,[R]: 1 
20-03-54.585000,[R]: 50 
20-03-54.586000,[R]: 2 
20-03-54.586000,[R]: 1 
20-03-54.587000,[R]: 50 
20-03-54.588000,[R]: 2 
20-03-54.588000,[R]: 1 
20-03-54.589000,[R]: 50 
20-03-54.616000,[R]: 2 
20-03-54.652000,[R]: 1 
20-03-54.654000,[R]: 50 
20-03-54.655000,[R]: 2 
20-03-54.655000,[R]: 20 
20-03-54.656000,[R]: 1 
20-03-54.656000,[R]: 50 
20-03-54.656000,[R]: 2 
20-03-54.656000,[R]: 1 
20-03-54.664000,[R]: 50 
20-03-54.664000,[R]: 2 
20-03-54.677000,[R]: 1 
20-03-54.678000,[R]: 50 
20-03-54.679000,[R]: 2 
20-03-54.679000,[R]: 1 
20-03-54.680000,[R]: 50 
20-03-54.680000,[R]: 2 
20-03-54.687000,[R]: 1 
20-03-54.688000,[R]: 50 
20-03-54.717000,[R]: 2 
20-03-54.718000,[R]: 1 
20-03-54.746000,[R]: 50 
20-03-54.747000,[R]: 2 
20-03-54.747000,[R]: 20 
20-03-54.748000,[R]: 1 
20-03-54.748000,[R]: 50 
20-03-54.749000,[R]: 2 
20-03-54.750000,[R]: 1 
20-03-54.750000,[R]: 50 
20-03-54.750000,[R]: 2 
20-03-54.779000,[R]: 1 
20-03-54.824000,[R]: 50 
20-03-54.825000,[R]: 2 
20-03-54.826000,[R]: 1 
20-03-54.826000,[R]: 50 
20-03-54.827000,[R]: 2 
20-03-54.828000,[R]: 1 
20-03-54.828000,[R]: 50 
20-03-54.829000,[R]: 2 
20-03-54.835000,[R]: 1 
20-03-54.835000,[R]: 50 
20-03-54.836000,[R]: 2 
20-03-54.837000,[R]: 20 
20-03-54.837000,[R]: 1 
20-03-54.838000,[R]: 50 
20-03-54.839000,[R]: 2 
20-03-54.839000,[R]: 1 
20-03-54.840000,[R]: 50 
20-03-54.848000,[R]: 2 
20-03-54.849000,[R]: 1 
20-03-54.850000,[R]: 50 
20-03-54.850000,[R]: 2 
20-03-54.856000,[R]: 1 
20-03-54.858000,[R]: 50 
20-03-54.859000,[R]: 2 
20-03-54.862000,[R]: 1 
20-03-54.864000,[R]: 50 
20-03-54.864000,[R]: 2 
20-03-54.867000,[R]: 1 
20-03-54.868000,[R]: 50 
20-03-54.868000,[R]: 2 
20-03-54.869000,[R]: 20 
20-03-54.869000,[R]: 1 
20-03-54.871000,[R]: 50 
20-03-54.872000,[R]: 2 
20-03-54.872000,[R]: 1 
20-03-54.873000,[R]: 50 
20-03-54.877000,[R]: 2 
20-03-54.878000,[R]: 1 
20-03-54.878000,[R]: 50 
20-03-54.879000,[R]: 2 
20-03-54.879000,[R]: 1 
20-03-54.885000,[R]: 50 
20-03-54.885000,[R]: 2 
20-03-54.886000,[R]: 1 
20-03-54.886000,[R]: 50 
20-03-54.887000,[R]: 2 
20-03-54.888000,[R]: 1 
20-03-54.888000,[R]: 50 
20-03-54.889000,[R]: 2 
20-03-54.889000,[R]: 1 
20-03-54.893000,[R]: 50 
20-03-54.896000,[R]: 2 
20-03-54.896000,[R]: 1 
20-03-54.897000,[R]: 50 
20-03-54.897000,[R]: 2 
20-03-54.901000,[R]: 1 
20-03-54.904000,[R]: 50 
20-03-54.905000,[R]: 20 
20-03-54.906000,[R]: 1 
20-03-54.907000,[R]: 50 
20-03-54.913000,[R]: 2 
20-03-54.913000,[R]: 1 
20-03-54.914000,[R]: 50 
20-03-54.915000,[R]: 2 
20-03-54.916000,[R]: 1 
20-03-54.917000,[R]: 50 
20-03-54.917000,[R]: 2 
20-03-54.918000,[R]: 1 
20-03-54.919000,[R]: 50 
20-03-54.920000,[R]: 2 
20-03-54.921000,[R]: 1 
20-03-54.921000,[R]: 50 
20-03-54.928000,[R]: 2 
20-03-54.929000,[R]: 1 
20-03-54.930000,[R]: 50 
20-03-54.931000,[R]: 2 
20-03-54.932000,[R]: 20 
20-03-54.932000,[R]: 1 
20-03-54.934000,[R]: 50 
20-03-54.935000,[R]: 2 
20-03-54.935000,[R]: 1 
20-03-54.936000,[R]: 50 
20-03-54.936000,[R]: 2 
20-03-54.937000,[R]: 1 
20-03-54.937000,[R]: 50 
20-03-54.939000,[R]: 2 
20-03-54.942000,[R]: 1 
20-03-54.942000,[R]: 50 
20-03-54.945000,[R]: 2 
20-03-54.946000,[R]: 1 
20-03-54.946000,[R]: 50 
20-03-54.947000,[R]: 2 
20-03-54.951000,[R]: 1 
20-03-54.952000,[R]: 50 
20-03-54.953000,[R]: 2 
20-03-54.953000,[R]: 20 
20-03-54.955000,[R]: 1 
20-03-54.956000,[R]: 50 
20-03-54.956000,[R]: 2 
20-03-54.957000,[R]: 1 
20-03-54.962000,[R]: 50 
20-03-54.963000,[R]: 2 
20-03-54.963000,[R]: 1 
20-03-54.967000,[R]: 50 
20-03-54.967000,[R]: 2 
20-03-54.968000,[R]: 1 
20-03-54.972000,[R]: 50 
20-03-54.972000,[R]: 2 
20-03-54.973000,[R]: 1 
20-03-54.973000,[R]: 50 
20-03-54.978000,[R]: 2 
20-03-54.979000,[R]: 1 
20-03-54.980000,[R]: 50 
20-03-54.980000,[R]: 2 
20-03-54.981000,[R]: 20 
20-03-54.982000,[R]: 1 
20-03-54.982000,[R]: 50 
20-03-54.983000,[R]: 2 
20-03-54.983000,[R]: 1 
20-03-54.984000,[R]: 50 
20-03-54.984000,[R]: 2 
20-03-54.985000,[R]: 1 
20-03-54.996000,[R]: 50 
20-03-54.997000,[R]: 2 
20-03-54.998000,[R]: 1 
20-03-54.998000,[R]: 50 
20-03-54.999000,[R]: 2 
20-03-55.001000,[R]: 1 
20-03-55.001000,[R]: 50 
20-03-55.002000,[R]: 2 
20-03-55.002000,[R]: 1 
20-03-55.003000,[R]: 50 
20-03-55.003000,[R]: 2 
20-03-55.004000,[R]: 20 
20-03-55.004000,[R]: 1 
20-03-55.009000,[R]: 50 
20-03-55.010000,[R]: 2 
20-03-55.010000,[R]: 1 
20-03-55.012000,[R]: 50 
20-03-55.012000,[R]: 2 
20-03-55.013000,[R]: 1 
20-03-55.013000,[R]: 50 
20-03-55.014000,[R]: 2 
20-03-55.014000,[R]: 1 
20-03-55.015000,[R]: 50 
20-03-55.015000,[R]: 2 
20-03-55.020000,[R]: 1 
20-03-55.022000,[R]: 50 
20-03-55.022000,[R]: 2 
20-03-55.023000,[R]: 1 
20-03-55.023000,[R]: 50 
20-03-55.024000,[R]: 2 
20-03-55.024000,[R]: 20 
20-03-55.025000,[R]: 1 
20-03-55.026000,[R]: 50 
20-03-55.028000,[R]: 2 
20-03-55.029000,[R]: 1 
20-03-55.030000,[R]: 50 
20-03-55.030000,[R]: 2 
20-03-55.031000,[R]: 1 
20-03-55.031000,[R]: 50 
20-03-55.032000,[R]: 2 
20-03-55.032000,[R]: 1 
20-03-55.033000,[R]: 50 
20-03-55.033000,[R]: 2 
20-03-55.034000,[R]: 1 
20-03-55.034000,[R]: 50 
20-03-55.034000,[R]: 2 
20-03-55.037000,[R]: 1 
20-03-55.038000,[R]: 50 
20-03-55.043000,[R]: 2 
20-03-55.045000,[R]: 20 
20-03-55.050000,[R]: 1 
20-03-55.051000,[R]: 50 
20-03-55.052000,[R]: 2 
20-03-55.052000,[R]: 1 
20-03-55.053000,[R]: 50 
20-03-55.054000,[R]: 2 
20-03-55.055000,[R]: 1 
20-03-55.056000,[R]: 50 
20-03-55.059000,[R]: 2 
20-03-55.060000,[R]: 1 
20-03-55.060000,[R]: 50 
20-03-55.061000,[R]: 2 
20-03-55.061000,[R]: 1 
20-03-55.062000,[R]: 50 
20-03-55.062000,[R]: 2 
20-03-55.063000,[R]: 1 
20-03-55.065000,[R]: 50 
20-03-55.066000,[R]: 2 
20-03-55.067000,[R]: 20 
20-03-55.070000,[R]: 1 
20-03-55.071000,[R]: 50 
20-03-55.071000,[R]: 2 
20-03-55.072000,[R]: 1 
20-03-55.072000,[R]: 50 
20-03-55.073000,[R]: 2 
20-03-55.073000,[R]: 1 
20-03-55.077000,[R]: 50 
20-03-55.078000,[R]: 2 
20-03-55.079000,[R]: 1 
20-03-55.082000,[R]: 50 
20-03-55.082000,[R]: 2 
20-03-55.083000,[R]: 1 
20-03-55.083000,[R]: 50 
20-03-55.084000,[R]: 2 
20-03-55.084000,[R]: 1 
20-03-55.087000,[R]: 50 
20-03-55.087000,[R]: 2 
20-03-55.088000,[R]: 20 
20-03-55.088000,[R]: 1 
20-03-55.090000,[R]: 50 
20-03-55.091000,[R]: 2 
20-03-55.092000,[R]: 1 
20-03-55.092000,[R]: 50 
20-03-55.093000,[R]: 2 
20-03-55.093000,[R]: 1 
20-03-55.094000,[R]: 50 
20-03-55.094000,[R]: 2 
20-03-55.095000,[R]: 1 
20-03-55.098000,[R]: 50 
20-03-55.099000,[R]: 2 
20-03-55.100000,[R]: 1 
20-03-55.100000,[R]: 50 
20-03-55.101000,[R]: 2 
20-03-55.104000,[R]: 1 
20-03-55.104000,[R]: 50 
20-03-55.105000,[R]: 2 
20-03-55.116000,[R]: 20 
20-03-55.117000,[R]: 1 
20-03-55.117000,[R]: 50 
20-03-55.118000,[R]: 2 
20-03-55.118000,[R]: 1 
20-03-55.119000,[R]: 50 
20-03-55.119000,[R]: 2 
20-03-55.120000,[R]: 1 
20-03-55.120000,[R]: 50 
20-03-55.121000,[R]: 2 
20-03-55.121000,[R]: 1 
20-03-55.122000,[R]: 50 
20-03-55.122000,[R]: 2 
20-03-55.123000,[R]: 1 
20-03-55.123000,[R]: 50 
20-03-55.127000,[R]: 2 
20-03-55.128000,[R]: 1 
20-03-55.129000,[R]: 50 
20-03-55.129000,[R]: 2 
20-03-55.130000,[R]: 20 
20-03-55.130000,[R]: 1 
20-03-55.134000,[R]: 50 
20-03-55.134000,[R]: 2 
20-03-55.136000,[R]: 1 
20-03-55.138000,[R]: 50 
20-03-55.140000,[R]: 2 
20-03-55.150000,[R]: 1 
20-03-55.152000,[R]: 50 
20-03-55.152000,[R]: 2 
20-03-55.153000,[R]: 1 
20-03-55.153000,[R]: 50 
20-03-55.157000,[R]: 2 
20-03-55.161000,[R]: 1 
20-03-55.163000,[R]: 50 
20-03-55.170000,[R]: 2 
20-03-55.176000,[R]: 1 
20-03-55.180000,[R]: 50 
20-03-55.180000,[R]: 2 
20-03-55.181000,[R]: 20 
20-03-55.182000,[R]: 1 
20-03-55.182000,[R]: 50 
20-03-55.183000,[R]: 2 
20-03-55.187000,[R]: 1 
20-03-55.187000,[R]: 50 
20-03-55.190000,[R]: 2 
20-03-55.195000,[R]: 1 
20-03-55.198000,[R]: 50 
20-03-55.201000,[R]: 2 
20-03-55.203000,[R]: 1 
20-03-55.204000,[R]: 50 
20-03-55.211000,[R]: 2 
20-03-55.212000,[R]: 1 
20-03-55.212000,[R]: 50 
20-03-55.215000,[R]: 2 
20-03-55.220000,[R]: 1 
20-03-55.220000,[R]: 50 
20-03-55.225000,[R]: 2 
20-03-55.226000,[R]: 20 
20-03-55.228000,[R]: 1 
20-03-55.229000,[R]: 50 
20-03-55.232000,[R]: 2 
20-03-55.238000,[R]: 1 
20-03-55.240000,[R]: 50 
20-03-55.242000,[R]: 2 
20-03-55.245000,[R]: 1 
20-03-55.246000,[R]: 50 
20-03-55.248000,[R]: 2 
20-03-55.253000,[R]: 1 
20-03-55.253000,[R]: 50 
20-03-55.257000,[R]: 2 
20-03-55.262000,[R]: 1 
20-03-55.263000,[R]: 50 
20-03-55.265000,[R]: 2 
20-03-55.270000,[R]: 1 
20-03-55.275000,[R]: 50 
20-03-55.275000,[R]: 2 
20-03-55.276000,[R]: 20 
20-03-55.278000,[R]: 1 
20-03-55.279000,[R]: 50 
20-03-55.283000,[R]: 2 
20-03-55.287000,[R]: 1 
20-03-55.288000,[R]: 50 
20-03-55.290000,[R]: 2 
20-03-55.295000,[R]: 1 
20-03-55.296000,[R]: 50 
20-03-55.299000,[R]: 2 
20-03-55.303000,[R]: 1 
20-03-55.304000,[R]: 50 
20-03-55.307000,[R]: 2 
