22-41-32.858000,--------------------------
22-43-46.823000,[R]: 5 
22-43-46.824000,[R]: 20 
22-43-46.825000,[R]: 1 
22-43-46.825000,S 1 	RSSI: 54
22-43-46.826000,[R]: 2 
22-43-46.826000,[R]: 50 
22-43-46.831000,[R]: 3 
22-43-46.832000,[R]: 4 
22-43-46.833000,[R]: 5 
22-43-46.834000,S 5 	RSSI: 44
22-43-46.836000,[R]: 6 
22-43-46.847000,[R]: 7 
22-43-46.848000,[R]: 8 
22-43-46.849000,[R]: 1 
22-43-46.849000,S 1 	RSSI: 54
22-43-46.858000,[R]: 2 
22-43-46.860000,[R]: 50 
22-43-46.861000,[R]: 3 
22-43-46.869000,[R]: 4 
22-43-46.869000,S 6 	RSSI: 44
22-43-46.870000,[R]: 5 
22-43-46.871000,[R]: 6 
22-43-46.871000,[R]: 7 
22-43-46.900000,[R]: 8 
22-43-46.902000,[R]: 1 
22-43-46.903000,[R]: 2 
22-43-46.903000,[R]: 50 
22-43-46.904000,S 8 	RSSI: 44
22-43-46.904000,[R]: 3 
22-43-46.908000,[R]: 4 
22-43-46.909000,S 6 	RSSI: 44
22-43-46.910000,[R]: 5 
22-43-46.910000,[R]: 6 
22-43-46.913000,[R]: 7 
22-43-46.933000,[R]: 8 
22-43-46.934000,[R]: 1 
22-43-46.934000,S 3 	RSSI: 44
22-43-46.936000,S 1 	RSSI: 54
22-43-46.941000,[R]: 2 
22-43-46.943000,[R]: 50 
22-43-46.943000,[R]: 3 
22-43-46.944000,[R]: 4 
22-43-46.944000,[R]: 5 
22-43-46.945000,[R]: 20 
22-43-46.946000,[R]: 1 
22-43-46.946000,[R]: 2 
22-43-46.947000,[R]: 50 
22-43-46.947000,[R]: 3 
22-43-46.948000,S 7 	RSSI: 44
22-43-46.949000,[R]: 4 
22-43-46.976000,S 1 	RSSI: 54
22-43-46.982000,[R]: 5 
22-43-46.983000,[R]: 6 
22-43-46.983000,[R]: 7 
22-43-46.984000,[R]: 8 
22-43-46.985000,S 4 	RSSI: 44
22-43-46.985000,[R]: 1 
22-43-47.014000,[R]: 2 
22-43-47.015000,[R]: 50 
22-43-47.016000,[R]: 3 
22-43-47.016000,S 7 	RSSI: 44
22-43-47.017000,[R]: 4 
22-43-47.017000,S 1 	RSSI: 54
22-43-47.027000,[R]: 5 
22-43-47.045000,[R]: 6 
22-43-47.048000,[R]: 7 
22-43-47.059000,[R]: 8 
22-43-47.065000,S 4 	RSSI: 44
22-43-47.077000,[R]: 1 
22-43-47.088000,[R]: 2 
22-43-47.088000,[R]: 50 
22-43-47.096000,[R]: 3 
22-43-47.097000,S 7 	RSSI: 44
22-43-47.098000,[R]: 4 
22-43-47.101000,S 1 	RSSI: 54
22-43-47.102000,[R]: 5 
22-43-47.103000,[R]: 6 
22-43-47.104000,S 5 	RSSI: 44
22-43-47.106000,[R]: 7 
22-43-47.107000,[R]: 8 
22-43-47.108000,[R]: 1 
22-43-47.108000,[R]: 2 
22-43-47.117000,[R]: 50 
22-43-47.118000,[R]: 3 
22-43-47.119000,[R]: 4 
22-43-47.123000,S 1 	RSSI: 54
22-43-47.125000,[R]: 5 
22-43-47.126000,[R]: 20 
22-43-47.127000,[R]: 1 
22-43-47.127000,S 5 	RSSI: 44
22-43-47.130000,[R]: 2 
22-43-47.136000,[R]: 50 
22-43-47.137000,[R]: 3 
22-43-47.138000,[R]: 4 
22-43-47.139000,[R]: 5 
22-43-47.139000,[R]: 6 
22-43-47.141000,[R]: 7 
22-43-47.142000,S 1 	RSSI: 53
22-43-47.142000,[R]: 8 
22-43-47.143000,[R]: 1 
22-43-47.144000,S 5 	RSSI: 44
22-43-47.144000,[R]: 2 
22-43-47.145000,[R]: 50 
22-43-47.145000,[R]: 3 
22-43-47.146000,[R]: 4 
22-43-47.170000,[R]: 5 
22-43-47.187000,[R]: 6 
22-43-47.188000,[R]: 7 
22-43-47.189000,[R]: 8 
22-43-47.189000,[R]: 1 
22-43-47.190000,S 5 	RSSI: 44
22-43-47.214000,[R]: 2 
22-43-47.215000,[R]: 50 
22-43-47.218000,[R]: 3 
22-43-47.219000,[R]: 4 
22-43-47.219000,[R]: 5 
22-43-47.221000,[R]: 6 
22-43-47.226000,[R]: 7 
22-43-47.260000,[R]: 8 
22-43-47.261000,[R]: 1 
22-43-47.261000,S 5 	RSSI: 44
22-43-47.280000,[R]: 2 
22-43-47.302000,[R]: 50 
22-43-47.303000,[R]: 3 
22-43-47.303000,[R]: 4 
22-43-47.304000,[R]: 5 
22-43-47.304000,[R]: 20 
22-43-47.314000,[R]: 1 
22-43-47.314000,[R]: 2 
22-43-47.347000,[R]: 50 
22-43-47.348000,[R]: 3 
22-43-47.349000,[R]: 4 
22-43-47.349000,[R]: 5 
22-43-47.350000,S 5 	RSSI: 44
22-43-47.350000,[R]: 6 
22-43-47.351000,[R]: 7 
22-43-47.352000,[R]: 8 
22-43-47.371000,[R]: 1 
22-43-47.372000,[R]: 2 
22-43-47.372000,[R]: 50 
22-43-47.401000,[R]: 3 
22-43-47.402000,[R]: 4 
22-43-47.407000,[R]: 5 
22-43-47.408000,S 5 	RSSI: 44
22-43-47.417000,[R]: 6 
22-43-47.432000,[R]: 7 
22-43-47.463000,[R]: 8 
22-43-47.463000,[R]: 1 
22-43-47.464000,[R]: 2 
22-43-47.465000,[R]: 50 
22-43-47.465000,[R]: 3 
22-43-47.466000,[R]: 4 
22-43-47.466000,S 6 	RSSI: 44
22-43-47.467000,[R]: 5 
22-43-47.468000,[R]: 6 
22-43-47.468000,S 3 	RSSI: 44
22-43-47.496000,[R]: 7 
22-43-47.560000,S 4 	RSSI: 44
22-43-47.561000,[R]: 8 
22-43-47.562000,[R]: 1 
22-43-47.563000,[R]: 2 
22-43-47.573000,[R]: 50 
22-43-47.574000,S 7 	RSSI: 44
22-43-47.575000,[R]: 3 
22-43-47.575000,[R]: 4 
22-43-47.576000,[R]: 5 
22-43-47.613000,[R]: 20 
22-43-47.614000,[R]: 1 
22-43-47.614000,S 3 	RSSI: 44
22-43-47.615000,[R]: 2 
22-43-47.616000,[R]: 50 
22-43-47.616000,S 4 	RSSI: 44
22-43-47.618000,[R]: 3 
22-43-47.618000,[R]: 4 
22-43-47.619000,[R]: 5 
22-43-47.619000,S 7 	RSSI: 44
22-43-47.620000,[R]: 6 
22-43-47.621000,[R]: 7 
22-43-47.640000,[R]: 8 
22-43-47.654000,[R]: 1 
22-43-47.656000,S 3 	RSSI: 44
22-43-47.663000,[R]: 2 
22-43-47.686000,[R]: 50 
22-43-47.691000,[R]: 3 
22-43-47.703000,[R]: 4 
22-43-47.717000,[R]: 5 
22-43-47.719000,S 7 	RSSI: 44
22-43-47.728000,[R]: 6 
22-43-47.739000,[R]: 7 
22-43-47.756000,[R]: 8 
22-43-47.757000,[R]: 1 
22-43-47.757000,S 3 	RSSI: 44
22-43-47.766000,[R]: 2 
22-43-47.767000,[R]: 50 
22-43-47.768000,[R]: 3 
22-43-47.768000,[R]: 4 
22-43-47.784000,[R]: 5 
22-43-47.784000,S 7 	RSSI: 44
22-43-47.785000,[R]: 6 
22-43-47.787000,[R]: 7 
22-43-47.787000,[R]: 8 
22-43-47.788000,[R]: 1 
22-43-47.807000,[R]: 2 
22-43-47.820000,[R]: 50 
22-43-47.824000,[R]: 3 
22-43-47.827000,[R]: 4 
22-43-47.831000,[R]: 5 
22-43-47.832000,S 7 	RSSI: 44
