09-19-41.254000,[R]: 2 
09-19-41.255000,S 2 	RSSI: 44
09-19-41.259000,[R]: 3 
09-19-41.259000,S 6 	RSSI: 48
09-19-41.262000,S 5 	RSSI: 54
09-19-41.264000,[R]: 4 
09-19-41.267000,S 8 	RSSI: 51
09-19-41.273000,[R]: 5 
09-19-41.277000,[R]: 6 
09-19-41.280000,S 3 	RSSI: 51
09-19-41.282000,[R]: 20 
09-19-41.287000,[R]: 1 
09-19-41.287000,[R]: 50 
09-19-41.292000,[R]: 2 
09-19-41.293000,S 2 	RSSI: 44
09-19-41.298000,[R]: 3 
09-19-41.300000,S 8 	RSSI: 52
09-19-41.309000,[R]: 4 
09-19-41.311000,[R]: 5 
09-19-41.313000,S 3 	RSSI: 51
09-19-41.317000,[R]: 6 
09-19-41.322000,[R]: 20 
09-19-41.332000,[R]: 1 
09-19-41.333000,[R]: 50 
09-19-41.334000,[R]: 2 
09-19-41.335000,S 2 	RSSI: 44
09-19-41.349000,S 8 	RSSI: 51
09-19-41.350000,S 5 	RSSI: 54
09-19-41.350000,[R]: 3 
09-19-41.352000,[R]: 4 
09-19-41.353000,[R]: 5 
09-19-41.358000,[R]: 6 
09-19-41.363000,[R]: 20 
09-19-41.373000,[R]: 1 
09-19-41.374000,[R]: 50 
09-19-41.375000,S 5 	RSSI: 54
09-19-41.376000,[R]: 2 
09-19-41.379000,S 2 	RSSI: 44
09-19-41.379000,S 3 	RSSI: 51
09-19-41.380000,[R]: 3 
09-19-41.385000,[R]: 4 
09-19-41.386000,S 6 	RSSI: 48
09-19-41.392000,[R]: 5 
09-19-41.398000,S 8 	RSSI: 51
09-19-41.398000,[R]: 6 
09-19-41.403000,S 5 	RSSI: 54
09-19-41.403000,[R]: 20 
09-19-41.406000,[R]: 1 
09-19-41.411000,[R]: 50 
09-19-41.411000,S 3 	RSSI: 51
09-19-41.413000,[R]: 2 
09-19-41.414000,S 2 	RSSI: 44
09-19-41.417000,S 7 	RSSI: 44
09-19-41.419000,[R]: 3 
09-19-41.422000,S 5 	RSSI: 54
09-19-41.426000,[R]: 4 
09-19-41.428000,S 6 	RSSI: 48
09-19-41.432000,[R]: 5 
09-19-41.437000,S 8 	RSSI: 51
09-19-41.438000,S 4 	RSSI: 52
09-19-41.439000,[R]: 6 
09-19-41.446000,[R]: 7 
09-19-41.449000,S 7 	RSSI: 44
09-19-41.452000,[R]: 8 
09-19-41.467000,S 5 	RSSI: 54
09-19-41.468000,[R]: 1 
09-19-41.469000,[R]: 50 
09-19-41.470000,[R]: 2 
09-19-41.470000,S 2 	RSSI: 44
09-19-41.471000,S 8 	RSSI: 51
09-19-41.478000,S 4 	RSSI: 52
09-19-41.479000,[R]: 3 
09-19-41.479000,[R]: 4 
09-19-41.483000,S 7 	RSSI: 44
09-19-41.484000,[R]: 20 
09-19-41.486000,[R]: 1 
09-19-41.488000,[R]: 50 
09-19-41.503000,S 5 	RSSI: 54
09-19-41.506000,[R]: 2 
09-19-41.507000,S 2 	RSSI: 44
09-19-41.507000,[R]: 3 
09-19-41.507000,S 8 	RSSI: 51
09-19-41.508000,[R]: 4 
09-19-41.512000,[R]: 5 
09-19-41.518000,[R]: 6 
09-19-41.520000,S 5 	RSSI: 54
09-19-41.523000,[R]: 20 
09-19-41.536000,[R]: 1 
09-19-41.537000,[R]: 50 
09-19-41.537000,[R]: 2 
09-19-41.538000,S 2 	RSSI: 44
09-19-41.540000,S 3 	RSSI: 51
09-19-41.541000,[R]: 3 
09-19-41.545000,[R]: 4 
09-19-41.552000,[R]: 5 
09-19-41.554000,S 5 	RSSI: 54
09-19-41.560000,S 8 	RSSI: 51
09-19-41.561000,[R]: 6 
09-19-41.563000,[R]: 20 
09-19-41.566000,[R]: 1 
09-19-41.567000,[R]: 50 
09-19-41.574000,[R]: 2 
09-19-41.575000,S 2 	RSSI: 44
09-19-41.576000,S 3 	RSSI: 51
09-19-41.581000,[R]: 3 
09-19-41.585000,[R]: 4 
09-19-41.587000,S 6 	RSSI: 48
09-19-41.592000,[R]: 5 
09-19-41.596000,S 8 	RSSI: 51
09-19-41.599000,[R]: 6 
09-19-41.603000,[R]: 20 
09-19-41.606000,[R]: 1 
09-19-41.607000,[R]: 50 
09-19-41.608000,S 3 	RSSI: 51
09-19-41.614000,[R]: 2 
09-19-41.615000,S 2 	RSSI: 44
09-19-41.619000,[R]: 3 
09-19-41.624000,S 6 	RSSI: 48
09-19-41.625000,S 5 	RSSI: 54
09-19-41.625000,[R]: 4 
09-19-41.628000,S 8 	RSSI: 51
09-19-41.632000,[R]: 5 
09-19-41.637000,[R]: 6 
09-19-41.644000,S 3 	RSSI: 51
09-19-41.644000,[R]: 20 
09-19-41.648000,[R]: 1 
09-19-41.651000,[R]: 50 
09-19-41.653000,[R]: 2 
09-19-41.662000,S 2 	RSSI: 44
09-19-41.663000,[R]: 3 
09-19-41.664000,S 8 	RSSI: 51
09-19-41.665000,[R]: 4 
09-19-41.672000,[R]: 5 
09-19-41.675000,S 3 	RSSI: 51
09-19-41.678000,[R]: 6 
09-19-41.685000,[R]: 20 
09-19-41.691000,[R]: 1 
09-19-41.692000,[R]: 50 
09-19-41.693000,[R]: 2 
09-19-41.698000,S 2 	RSSI: 44
09-19-41.699000,S 8 	RSSI: 51
09-19-41.699000,S 3 	RSSI: 51
09-19-41.701000,S 5 	RSSI: 54
09-19-41.702000,[R]: 3 
09-19-41.706000,[R]: 4 
09-19-41.711000,[R]: 5 
09-19-41.718000,[R]: 6 
09-19-41.723000,[R]: 20 
09-19-41.726000,[R]: 1 
09-19-41.727000,[R]: 50 
09-19-41.730000,S 5 	RSSI: 54
09-19-41.732000,[R]: 2 
09-19-41.734000,S 2 	RSSI: 44
09-19-41.735000,S 3 	RSSI: 51
09-19-41.738000,[R]: 3 
09-19-41.755000,[R]: 4 
09-19-41.756000,S 6 	RSSI: 48
09-19-41.756000,[R]: 5 
09-19-41.757000,S 8 	RSSI: 51
09-19-41.758000,[R]: 6 
09-19-41.763000,S 5 	RSSI: 54
09-19-41.764000,[R]: 20 
09-19-41.766000,[R]: 1 
09-19-41.766000,[R]: 50 
09-19-41.768000,S 3 	RSSI: 51
09-19-41.773000,[R]: 2 
09-19-41.786000,S 2 	RSSI: 44
09-19-41.786000,S 7 	RSSI: 44
09-19-41.787000,[R]: 3 
09-19-41.788000,S 5 	RSSI: 54
09-19-41.789000,[R]: 4 
09-19-41.790000,S 6 	RSSI: 48
09-19-41.792000,[R]: 5 
09-19-41.798000,S 8 	RSSI: 51
09-19-41.798000,S 4 	RSSI: 51
09-19-41.800000,[R]: 6 
09-19-41.800000,S 3 	RSSI: 51
09-19-41.803000,[R]: 20 
09-19-41.807000,[R]: 1 
09-19-41.819000,[R]: 50 
09-19-41.819000,S 7 	RSSI: 44
09-19-41.820000,[R]: 2 
09-19-41.820000,S 2 	RSSI: 44
09-19-41.821000,[R]: 3 
09-19-41.824000,S 5 	RSSI: 54
09-19-41.826000,[R]: 4 
09-19-41.829000,S 8 	RSSI: 51
09-19-41.830000,S 4 	RSSI: 51
09-19-41.833000,[R]: 5 
09-19-41.834000,S 3 	RSSI: 51
09-19-41.840000,[R]: 6 
09-19-41.843000,S 7 	RSSI: 44
09-19-41.843000,[R]: 20 
09-19-41.846000,[R]: 1 
09-19-41.851000,[R]: 50 
09-19-41.854000,[R]: 2 
09-19-41.855000,S 2 	RSSI: 44
09-19-41.857000,S 3 	RSSI: 51
09-19-41.858000,S 5 	RSSI: 54
09-19-41.859000,[R]: 3 
09-19-41.862000,S 8 	RSSI: 51
09-19-41.865000,[R]: 4 
09-19-41.872000,[R]: 5 
09-19-41.878000,[R]: 6 
09-19-41.885000,[R]: 20 
09-19-41.887000,[R]: 1 
09-19-41.887000,[R]: 50 
09-19-41.889000,S 5 	RSSI: 54
09-19-41.893000,[R]: 2 
09-19-41.898000,S 2 	RSSI: 44
09-19-41.898000,S 3 	RSSI: 51
09-19-41.899000,[R]: 3 
09-19-41.905000,[R]: 4 
09-19-41.912000,[R]: 5 
09-19-41.914000,S 8 	RSSI: 52
09-19-41.918000,[R]: 6 
09-19-41.921000,S 5 	RSSI: 54
09-19-41.923000,[R]: 20 
09-19-41.926000,[R]: 1 
09-19-41.935000,[R]: 50 
09-19-41.935000,S 3 	RSSI: 51
09-19-41.936000,[R]: 2 
09-19-41.937000,S 2 	RSSI: 44
09-19-41.939000,[R]: 3 
09-19-41.947000,[R]: 4 
09-19-41.949000,S 6 	RSSI: 48
09-19-41.952000,[R]: 5 
09-19-41.956000,S 5 	RSSI: 54
09-19-41.960000,[R]: 6 
09-19-41.961000,S 3 	RSSI: 51
09-19-41.963000,[R]: 20 
09-19-41.966000,[R]: 1 
09-19-41.968000,[R]: 50 
09-19-41.974000,[R]: 2 
09-19-41.976000,S 2 	RSSI: 44
09-19-41.979000,[R]: 3 
09-19-41.983000,S 5 	RSSI: 54
09-19-41.985000,[R]: 4 
09-19-41.992000,[R]: 5 
09-19-41.993000,S 3 	RSSI: 51
09-19-41.998000,[R]: 6 
09-19-42.003000,[R]: 20 
09-19-42.007000,[R]: 1 
09-19-42.008000,[R]: 50 
09-19-42.012000,[R]: 2 
09-19-42.013000,S 2 	RSSI: 44
09-19-42.018000,[R]: 3 
09-19-42.020000,S 6 	RSSI: 48
09-19-42.035000,S 5 	RSSI: 54
09-19-42.036000,[R]: 4 
09-19-42.036000,[R]: 5 
09-19-42.038000,[R]: 6 
09-19-42.042000,[R]: 20 
09-19-42.045000,[R]: 1 
09-19-42.046000,[R]: 50 
09-19-42.052000,[R]: 2 
09-19-42.068000,S 2 	RSSI: 44
09-19-42.069000,S 3 	RSSI: 51
09-19-42.069000,S 5 	RSSI: 55
09-19-42.070000,[R]: 3 
09-19-42.071000,[R]: 4 
09-19-42.071000,[R]: 5 
09-19-42.078000,[R]: 6 
09-19-42.082000,[R]: 20 
09-19-42.085000,[R]: 1 
09-19-42.086000,[R]: 50 
09-19-42.088000,S 3 	RSSI: 51
09-19-42.089000,S 5 	RSSI: 55
09-19-42.092000,[R]: 2 
09-19-42.093000,S 2 	RSSI: 44
09-19-42.100000,[R]: 3 
09-19-42.101000,S 4 	RSSI: 53
09-19-42.106000,[R]: 4 
09-19-42.107000,S 6 	RSSI: 48
09-19-42.112000,[R]: 5 
09-19-42.114000,S 8 	RSSI: 53
09-19-42.119000,[R]: 6 
09-19-42.124000,S 3 	RSSI: 53
09-19-42.127000,S 5 	RSSI: 55
09-19-42.127000,[R]: 20 
09-19-42.129000,[R]: 1 
09-19-42.130000,[R]: 50 
09-19-42.134000,[R]: 2 
09-19-42.135000,S 2 	RSSI: 44
09-19-42.145000,S 7 	RSSI: 44
09-19-42.146000,[R]: 3 
09-19-42.147000,S 5 	RSSI: 54
09-19-42.147000,[R]: 4 
09-19-42.148000,S 6 	RSSI: 48
09-19-42.152000,[R]: 5 
09-19-42.160000,S 8 	RSSI: 53
09-19-42.161000,[R]: 6 
09-19-42.163000,[R]: 20 
09-19-42.166000,[R]: 1 
09-19-42.166000,[R]: 50 
09-19-42.170000,S 7 	RSSI: 44
09-19-42.173000,[R]: 2 
09-19-42.175000,S 2 	RSSI: 44
09-19-42.178000,[R]: 3 
09-19-42.183000,S 6 	RSSI: 48
09-19-42.183000,S 5 	RSSI: 54
09-19-42.185000,[R]: 4 
09-19-42.188000,S 8 	RSSI: 53
09-19-42.193000,[R]: 5 
09-19-42.198000,[R]: 6 
09-19-42.202000,S 7 	RSSI: 45
09-19-42.205000,[R]: 7 
09-19-42.212000,[R]: 8 
09-19-42.218000,S 5 	RSSI: 54
09-19-42.219000,[R]: 1 
09-19-42.220000,[R]: 50 
09-19-42.221000,S 8 	RSSI: 51
09-19-42.226000,[R]: 2 
09-19-42.230000,S 2 	RSSI: 44
09-19-42.231000,[R]: 3 
09-19-42.235000,S 7 	RSSI: 44
09-19-42.238000,[R]: 4 
09-19-42.244000,[R]: 20 
09-19-42.246000,[R]: 1 
09-19-42.247000,[R]: 50 
09-19-42.253000,[R]: 2 
09-19-42.255000,S 2 	RSSI: 44
09-19-42.257000,S 3 	RSSI: 52
09-19-42.259000,[R]: 3 
09-19-42.265000,[R]: 4 
09-19-42.273000,[R]: 5 
09-19-42.274000,S 8 	RSSI: 50
09-19-42.278000,[R]: 6 
09-19-42.281000,S 5 	RSSI: 54
09-19-42.286000,[R]: 20 
09-19-42.286000,[R]: 1 
09-19-42.288000,[R]: 50 
09-19-42.288000,S 3 	RSSI: 52
09-19-42.304000,[R]: 2 
09-19-42.308000,S 2 	RSSI: 44
09-19-42.308000,[R]: 3 
09-19-42.309000,[R]: 4 
09-19-42.309000,S 6 	RSSI: 48
09-19-42.312000,[R]: 5 
09-19-42.320000,S 5 	RSSI: 54
09-19-42.321000,S 8 	RSSI: 49
09-19-42.321000,[R]: 6 
09-19-42.321000,S 3 	RSSI: 52
09-19-42.323000,[R]: 20 
09-19-42.326000,[R]: 1 
09-19-42.329000,[R]: 50 
09-19-42.333000,[R]: 2 
09-19-42.334000,S 2 	RSSI: 44
09-19-42.341000,[R]: 3 
09-19-42.343000,S 5 	RSSI: 53
09-19-42.346000,[R]: 4 
09-19-42.352000,[R]: 5 
09-19-42.354000,S 3 	RSSI: 52
09-19-42.358000,[R]: 6 
09-19-42.363000,[R]: 20 
09-19-42.366000,[R]: 1 
09-19-42.368000,[R]: 50 
09-19-42.370000,S 7 	RSSI: 44
09-19-42.374000,[R]: 2 
09-19-42.391000,S 2 	RSSI: 44
09-19-42.391000,S 3 	RSSI: 52
09-19-42.392000,[R]: 3 
09-19-42.392000,S 5 	RSSI: 53
09-19-42.393000,[R]: 4 
09-19-42.394000,S 4 	RSSI: 53
09-19-42.394000,[R]: 5 
09-19-42.398000,[R]: 6 
09-19-42.406000,S 7 	RSSI: 44
09-19-42.406000,[R]: 20 
09-19-42.411000,[R]: 1 
09-19-42.412000,[R]: 50 
09-19-42.414000,[R]: 2 
09-19-42.415000,S 2 	RSSI: 44
09-19-42.415000,S 3 	RSSI: 52
09-19-42.416000,S 5 	RSSI: 53
09-19-42.418000,[R]: 3 
09-19-42.425000,[R]: 4 
09-19-42.433000,[R]: 5 
09-19-42.438000,[R]: 6 
09-19-42.444000,[R]: 20 
09-19-42.445000,[R]: 1 
09-19-42.446000,[R]: 50 
09-19-42.448000,S 3 	RSSI: 51
09-19-42.449000,S 5 	RSSI: 54
09-19-42.453000,[R]: 2 
09-19-42.461000,S 2 	RSSI: 44
09-19-42.461000,[R]: 3 
09-19-42.466000,[R]: 4 
