09-46-23.294000,------------------------------------
09-46-27.429000,[R]: 10 
09-46-27.437000,[R]: 10 
09-46-27.444000,[R]: 10 
09-46-27.451000,[R]: 10 
09-46-27.458000,[R]: 10 
09-46-27.466000,[R]: 10 
09-46-27.473000,[R]: 10 
09-46-27.480000,[R]: 10 
09-46-27.487000,[R]: 10 
09-46-27.494000,[R]: 10 
09-46-27.503000,[R]: 10 
09-46-27.509000,[R]: 10 
09-46-27.516000,[R]: 10 
09-46-27.524000,[R]: 10 
09-46-27.531000,[R]: 10 
09-46-27.538000,[R]: 10 
09-46-27.545000,[R]: 10 
09-46-27.552000,[R]: 10 
09-46-27.560000,[R]: 10 
09-46-27.567000,[R]: 10 
09-46-27.574000,[R]: 10 
09-46-27.581000,[R]: 10 
09-46-27.589000,[R]: 10 
09-46-27.596000,[R]: 10 
09-46-27.603000,[R]: 10 
09-46-27.610000,[R]: 10 
09-46-27.618000,[R]: 10 
09-46-27.625000,[R]: 10 
09-46-27.632000,[R]: 10 
09-46-27.639000,[R]: 10 
09-46-27.647000,[R]: 10 
09-46-27.654000,[R]: 10 
09-46-27.662000,[R]: 10 
09-46-27.668000,[R]: 10 
09-46-27.676000,[R]: 10 
09-46-27.683000,[R]: 10 
09-46-27.690000,[R]: 10 
09-46-27.698000,[R]: 10 
09-46-27.705000,[R]: 10 
09-46-27.712000,[R]: 10 
09-46-27.720000,[R]: 10 
09-46-27.727000,[R]: 10 
09-46-27.734000,[R]: 10 
09-46-27.741000,[R]: 10 
09-46-27.749000,[R]: 10 
09-46-27.756000,[R]: 10 
09-46-27.763000,[R]: 10 
09-46-27.770000,[R]: 10 
09-46-27.778000,[R]: 10 
09-46-27.785000,[R]: 10 
09-46-27.791000,[R]: 10 
09-46-27.798000,[R]: 10 
09-46-27.805000,[R]: 10 
09-46-27.813000,[R]: 10 
09-46-27.820000,[R]: 10 
09-46-27.827000,[R]: 10 
09-46-27.835000,[R]: 10 
09-46-27.842000,[R]: 10 
09-46-27.849000,[R]: 10 
09-46-27.856000,[R]: 10 
09-46-27.863000,[R]: 10 
09-46-27.871000,[R]: 10 
09-46-27.878000,[R]: 10 
09-46-27.885000,[R]: 10 
09-46-27.892000,[R]: 10 
09-46-27.900000,[R]: 10 
09-46-27.907000,[R]: 10 
09-46-27.915000,[R]: 10 
09-46-27.921000,[R]: 10 
09-46-27.928000,[R]: 10 
09-46-27.936000,[R]: 10 
09-46-27.944000,[R]: 10 
09-46-27.950000,[R]: 10 
09-46-27.958000,[R]: 10 
09-46-27.965000,[R]: 10 
09-46-27.972000,[R]: 10 
09-46-27.979000,[R]: 10 
09-46-27.986000,[R]: 10 
09-46-27.994000,[R]: 10 
09-46-28.001000,[R]: 10 
09-46-28.008000,[R]: 10 
09-46-28.015000,[R]: 10 
09-46-28.023000,[R]: 10 
09-46-28.030000,[R]: 10 
09-46-28.038000,[R]: 10 
09-46-28.045000,[R]: 10 
09-46-28.052000,[R]: 10 
09-46-28.059000,[R]: 10 
09-46-28.067000,[R]: 10 
09-46-28.074000,[R]: 10 
09-46-28.081000,[R]: 10 
09-46-28.089000,[R]: 10 
09-46-28.096000,[R]: 10 
09-46-28.103000,[R]: 10 
09-46-28.111000,[R]: 10 
09-46-28.117000,[R]: 10 
09-46-28.125000,[R]: 10 
09-46-28.132000,[R]: 10 
09-46-28.139000,[R]: 10 
09-46-28.146000,[R]: 10 
09-46-28.154000,[R]: 10 
09-46-28.161000,[R]: 10 
09-46-28.167000,[R]: 10 
09-46-28.174000,[R]: 10 
09-46-28.181000,[R]: 10 
09-46-28.189000,[R]: 10 
09-46-28.196000,[R]: 10 
