23-03-18.495000,------------------------------------------
23-07-25.966000,S 8 	RSSI: 52
23-07-25.967000,S 2 	RSSI: 63
23-07-26.046000,[R]: 4 
23-07-26.046000,[R]: 5 
23-07-26.047000,S 6 	RSSI: 47
23-07-26.047000,[R]: 6 
23-07-26.048000,[R]: 7 
23-07-26.048000,[R]: 8 
23-07-26.049000,S 2 	RSSI: 63
23-07-26.103000,[R]: 1 
23-07-26.103000,[R]: 50 
23-07-26.104000,[R]: 2 
23-07-26.216000,S 4 	RSSI: 52
23-07-26.216000,[R]: 3 
23-07-26.244000,[R]: 4 
23-07-26.245000,S 6 	RSSI: 47
23-07-26.245000,[R]: 5 
23-07-26.246000,S 7 	RSSI: 46
23-07-26.246000,[R]: 6 
23-07-26.246000,[R]: 7 
23-07-26.247000,[R]: 8 
23-07-26.247000,[R]: 20 
23-07-26.247000,[R]: 1 
23-07-26.248000,[R]: 50 
23-07-26.248000,[R]: 2 
23-07-26.249000,S 4 	RSSI: 52
23-07-26.249000,[R]: 3 
23-07-26.325000,[R]: 4 
23-07-26.326000,S 6 	RSSI: 47
23-07-26.326000,[R]: 5 
23-07-26.327000,S 7 	RSSI: 49
23-07-26.328000,[R]: 6 
23-07-26.374000,[R]: 7 
23-07-26.374000,[R]: 8 
23-07-26.374000,S 2 	RSSI: 63
23-07-26.375000,[R]: 1 
23-07-26.376000,[R]: 50 
23-07-26.376000,[R]: 2 
23-07-26.377000,S 4 	RSSI: 52
23-07-26.379000,[R]: 3 
23-07-26.379000,[R]: 4 
23-07-26.380000,[R]: 5 
23-07-26.380000,S 7 	RSSI: 45
23-07-26.381000,[R]: 6 
23-07-26.408000,[R]: 7 
23-07-26.408000,[R]: 8 
23-07-26.409000,S 2 	RSSI: 64
23-07-26.409000,[R]: 1 
23-07-26.410000,[R]: 50 
23-07-26.411000,[R]: 2 
23-07-26.412000,S 4 	RSSI: 52
23-07-26.412000,[R]: 3 
23-07-26.430000,[R]: 4 
23-07-26.431000,[R]: 5 
23-07-26.432000,S 7 	RSSI: 45
23-07-26.432000,[R]: 6 
23-07-26.437000,[R]: 7 
23-07-26.438000,[R]: 8 
23-07-26.438000,[R]: 1 
23-07-26.440000,[R]: 50 
23-07-26.441000,[R]: 2 
23-07-26.441000,[R]: 3 
23-07-26.442000,[R]: 4 
23-07-26.442000,[R]: 5 
23-07-26.443000,[R]: 20 
23-07-26.443000,[R]: 1 
23-07-26.471000,[R]: 50 
23-07-26.472000,[R]: 2 
23-07-26.473000,[R]: 3 
23-07-26.473000,S 5 	RSSI: 63
23-07-26.473000,[R]: 4 
23-07-26.474000,S 8 	RSSI: 53
23-07-26.474000,[R]: 5 
23-07-26.475000,[R]: 6 
23-07-26.475000,[R]: 7 
23-07-26.476000,S 3 	RSSI: 62
23-07-26.476000,[R]: 8 
23-07-26.476000,[R]: 1 
23-07-26.477000,[R]: 50 
23-07-26.477000,[R]: 2 
23-07-26.482000,[R]: 3 
23-07-26.483000,[R]: 4 
23-07-26.487000,S 3 	RSSI: 77
23-07-26.487000,[R]: 5 
23-07-26.488000,S 4 	RSSI: 52
23-07-26.489000,[R]: 6 
23-07-26.553000,[R]: 7 
23-07-26.553000,S 6 	RSSI: 47
23-07-26.554000,[R]: 8 
23-07-26.622000,S 7 	RSSI: 45
23-07-26.623000,[R]: 1 
23-07-26.624000,[R]: 50 
23-07-26.624000,[R]: 2 
23-07-26.624000,S 2 	RSSI: 63
23-07-26.625000,[R]: 3 
23-07-26.625000,[R]: 4 
23-07-26.626000,[R]: 5 
23-07-26.626000,S 4 	RSSI: 52
23-07-26.626000,[R]: 6 
23-07-26.627000,[R]: 7 
23-07-26.627000,S 6 	RSSI: 47
23-07-26.628000,[R]: 8 
23-07-26.628000,S 7 	RSSI: 45
23-07-26.629000,[R]: 1 
23-07-26.629000,[R]: 50 
23-07-26.629000,[R]: 2 
23-07-26.630000,[R]: 3 
23-07-26.630000,[R]: 4 
23-07-26.631000,[R]: 5 
23-07-26.633000,S 4 	RSSI: 52
23-07-26.634000,[R]: 6 
23-07-26.634000,[R]: 7 
23-07-26.638000,[R]: 8 
23-07-26.638000,S 7 	RSSI: 45
23-07-26.638000,[R]: 1 
23-07-26.638000,[R]: 50 
23-07-26.638000,[R]: 2 
23-07-26.638000,[R]: 3 
23-07-26.639000,[R]: 4 
23-07-26.639000,[R]: 5 
23-07-26.640000,[R]: 6 
23-07-26.640000,[R]: 7 
23-07-26.641000,[R]: 8 
23-07-26.661000,[R]: 1 
23-07-26.662000,[R]: 50 
23-07-26.662000,[R]: 2 
23-07-26.662000,[R]: 3 
23-07-26.747000,[R]: 4 
23-07-26.748000,[R]: 5 
23-07-26.748000,[R]: 6 
23-07-26.748000,[R]: 7 
23-07-26.749000,[R]: 8 
23-07-26.749000,[R]: 20 
23-07-26.750000,[R]: 1 
23-07-26.750000,[R]: 50 
23-07-26.883000,[R]: 2 
23-07-26.883000,[R]: 3 
23-07-26.884000,S 5 	RSSI: 64
23-07-26.884000,[R]: 4 
23-07-26.884000,S 8 	RSSI: 51
23-07-26.885000,[R]: 5 
23-07-26.885000,[R]: 6 
23-07-26.886000,[R]: 7 
23-07-26.886000,[R]: 8 
23-07-26.887000,[R]: 1 
23-07-26.887000,[R]: 50 
23-07-26.888000,[R]: 2 
23-07-26.888000,[R]: 3 
23-07-26.889000,[R]: 4 
23-07-26.889000,S 8 	RSSI: 51
23-07-26.890000,[R]: 5 
23-07-26.891000,[R]: 6 
23-07-26.891000,[R]: 7 
23-07-26.892000,[R]: 8 
23-07-26.894000,[R]: 1 
23-07-26.895000,[R]: 50 
23-07-26.895000,[R]: 2 
23-07-26.896000,S 3 	RSSI: 62
23-07-26.896000,[R]: 3 
23-07-26.897000,[R]: 20 
23-07-26.897000,[R]: 1 
23-07-26.897000,[R]: 50 
23-07-26.898000,[R]: 2 
23-07-26.898000,S 6 	RSSI: 49
23-07-26.899000,[R]: 3 
23-07-26.899000,S 7 	RSSI: 45
23-07-26.899000,[R]: 4 
23-07-26.900000,[R]: 5 
23-07-26.900000,[R]: 6 
23-07-26.901000,S 2 	RSSI: 64
23-07-26.901000,[R]: 7 
23-07-26.902000,S 3 	RSSI: 62
23-07-26.902000,[R]: 8 
23-07-26.905000,S 4 	RSSI: 52
23-07-26.906000,[R]: 1 
23-07-26.906000,[R]: 50 
23-07-26.907000,[R]: 2 
23-07-26.907000,[R]: 3 
23-07-26.907000,S 7 	RSSI: 45
23-07-26.908000,[R]: 4 
23-07-26.908000,[R]: 5 
23-07-26.908000,[R]: 6 
23-07-26.909000,S 2 	RSSI: 65
23-07-26.909000,[R]: 7 
23-07-26.910000,[R]: 8 
23-07-26.910000,S 4 	RSSI: 53
23-07-26.910000,[R]: 1 
23-07-26.911000,[R]: 50 
23-07-26.911000,[R]: 2 
23-07-26.911000,[R]: 3 
23-07-26.912000,S 7 	RSSI: 45
23-07-26.912000,[R]: 20 
23-07-26.913000,[R]: 1 
23-07-26.913000,[R]: 50 
23-07-26.913000,[R]: 2 
23-07-26.933000,[R]: 3 
23-07-26.934000,S 5 	RSSI: 63
23-07-26.935000,[R]: 4 
23-07-26.935000,[R]: 5 
23-07-26.936000,[R]: 6 
23-07-26.936000,[R]: 7 
23-07-26.937000,[R]: 8 
23-07-26.938000,[R]: 1 
23-07-26.938000,[R]: 50 
23-07-26.938000,[R]: 2 
23-07-26.939000,S 2 	RSSI: 64
23-07-26.939000,[R]: 3 
23-07-26.940000,S 5 	RSSI: 63
23-07-26.940000,[R]: 4 
23-07-26.941000,[R]: 5 
23-07-26.941000,[R]: 6 
23-07-26.941000,[R]: 7 
23-07-26.942000,[R]: 8 
23-07-26.942000,[R]: 1 
23-07-26.946000,[R]: 50 
23-07-27.180000,[R]: 2 
23-07-27.181000,S 2 	RSSI: 64
23-07-27.181000,[R]: 3 
23-07-27.182000,[R]: 4 
23-07-27.182000,[R]: 5 
23-07-27.182000,[R]: 6 
23-07-27.183000,[R]: 7 
23-07-27.183000,[R]: 8 
23-07-27.184000,[R]: 1 
23-07-27.244000,[R]: 50 
23-07-27.244000,[R]: 2 
23-07-27.245000,S 2 	RSSI: 65
23-07-27.245000,[R]: 3 
23-07-27.247000,S 5 	RSSI: 73
23-07-27.247000,[R]: 4 
23-07-27.247000,[R]: 5 
23-07-27.248000,[R]: 20 
23-07-27.248000,[R]: 1 
23-07-27.249000,[R]: 50 
23-07-27.249000,[R]: 2 
23-07-27.249000,S 2 	RSSI: 63
23-07-27.431000,[R]: 3 
23-07-27.431000,[R]: 4 
23-07-27.432000,[R]: 5 
23-07-27.432000,[R]: 6 
23-07-27.432000,[R]: 7 
23-07-27.433000,[R]: 8 
23-07-27.433000,S 8 	RSSI: 51
23-07-27.434000,[R]: 1 
23-07-27.434000,[R]: 50 
23-07-27.434000,[R]: 2 
23-07-27.435000,S 2 	RSSI: 63
23-07-27.435000,[R]: 3 
23-07-27.436000,[R]: 4 
23-07-27.436000,[R]: 5 
23-07-27.436000,[R]: 6 
23-07-27.437000,[R]: 7 
23-07-27.437000,[R]: 8 
23-07-27.440000,S 8 	RSSI: 51
23-07-27.440000,[R]: 1 
23-07-27.441000,[R]: 50 
23-07-27.441000,[R]: 2 
23-07-27.441000,S 6 	RSSI: 47
23-07-27.442000,[R]: 3 
23-07-27.442000,[R]: 4 
23-07-27.443000,[R]: 5 
23-07-27.443000,[R]: 6 
23-07-27.443000,S 3 	RSSI: 62
23-07-27.444000,[R]: 7 
23-07-27.481000,S 4 	RSSI: 53
23-07-27.481000,[R]: 8 
23-07-27.482000,[R]: 1 
23-07-27.482000,[R]: 50 
23-07-27.482000,[R]: 2 
23-07-27.483000,S 7 	RSSI: 46
23-07-27.483000,[R]: 3 
23-07-27.483000,[R]: 4 
23-07-27.484000,[R]: 5 
23-07-27.484000,[R]: 20 
23-07-27.485000,[R]: 1 
23-07-27.486000,[R]: 50 
23-07-27.486000,[R]: 2 
23-07-27.486000,[R]: 3 
23-07-27.487000,S 3 	RSSI: 62
23-07-27.487000,[R]: 4 
23-07-27.488000,S 4 	RSSI: 55
23-07-27.488000,[R]: 5 
23-07-27.488000,S 7 	RSSI: 46
23-07-27.489000,[R]: 6 
23-07-27.587000,[R]: 7 
23-07-27.587000,[R]: 8 
23-07-27.588000,[R]: 1 
23-07-27.588000,[R]: 50 
23-07-27.588000,[R]: 2 
23-07-27.589000,[R]: 3 
23-07-27.590000,S 3 	RSSI: 62
23-07-27.590000,[R]: 4 
23-07-27.590000,[R]: 5 
23-07-27.591000,S 7 	RSSI: 45
23-07-27.591000,[R]: 6 
23-07-27.592000,[R]: 7 
23-07-27.592000,[R]: 8 
23-07-27.592000,[R]: 1 
23-07-27.593000,[R]: 50 
23-07-27.593000,[R]: 2 
23-07-27.593000,[R]: 3 
23-07-27.594000,S 3 	RSSI: 66
23-07-27.653000,[R]: 4 
23-07-27.654000,[R]: 5 
23-07-27.654000,[R]: 6 
23-07-27.655000,[R]: 7 
23-07-27.655000,[R]: 8 
23-07-27.656000,[R]: 1 
23-07-27.656000,[R]: 50 
23-07-27.657000,[R]: 2 
23-07-27.657000,[R]: 3 
23-07-27.658000,[R]: 4 
23-07-27.658000,[R]: 5 
23-07-27.658000,[R]: 20 
23-07-27.659000,[R]: 1 
23-07-27.659000,[R]: 50 
23-07-27.659000,[R]: 2 
23-07-27.660000,S 2 	RSSI: 62
23-07-27.660000,[R]: 3 
23-07-27.661000,S 5 	RSSI: 64
23-07-27.661000,[R]: 4 
23-07-27.661000,[R]: 5 
23-07-27.662000,[R]: 6 
23-07-27.662000,[R]: 7 
23-07-27.662000,[R]: 8 
23-07-27.666000,[R]: 1 
23-07-27.666000,[R]: 50 
23-07-27.667000,[R]: 2 
23-07-27.667000,[R]: 3 
23-07-27.668000,S 5 	RSSI: 65
23-07-27.668000,[R]: 4 
23-07-27.668000,S 8 	RSSI: 50
23-07-27.669000,[R]: 5 
23-07-27.669000,[R]: 6 
23-07-27.670000,[R]: 7 
23-07-27.670000,[R]: 8 
23-07-27.670000,[R]: 1 
23-07-27.670000,[R]: 50 
23-07-27.671000,[R]: 2 
23-07-27.671000,[R]: 3 
23-07-27.671000,[R]: 20 
23-07-27.684000,[R]: 1 
23-07-27.708000,[R]: 50 
23-07-27.708000,[R]: 2 
23-07-27.709000,[R]: 3 
23-07-27.709000,[R]: 4 
23-07-27.710000,[R]: 5 
23-07-27.710000,S 7 	RSSI: 46
23-07-27.710000,[R]: 6 
23-07-27.711000,S 6 	RSSI: 48
23-07-27.711000,[R]: 7 
23-07-27.712000,[R]: 8 
23-07-27.712000,[R]: 1 
23-07-27.713000,[R]: 50 
23-07-27.713000,S 3 	RSSI: 62
23-07-27.713000,[R]: 2 
23-07-27.714000,S 4 	RSSI: 55
23-07-27.714000,[R]: 3 
23-07-27.715000,[R]: 4 
23-07-27.715000,[R]: 5 
23-07-27.716000,S 7 	RSSI: 46
23-07-27.716000,[R]: 6 
