23-20-32.309000,[R]: 3 
23-20-32.312000,[R]: 4 
23-20-32.317000,[R]: 5 
23-20-32.320000,[R]: 6 
23-20-32.322000,S 6 	RSSI: 44
23-20-32.324000,[R]: 7 
23-20-32.328000,[R]: 8 
23-20-32.333000,[R]: 1 
23-20-32.338000,[R]: 2 
23-20-32.339000,[R]: 50 
23-20-32.341000,[R]: 3 
23-20-32.345000,[R]: 4 
23-20-32.349000,[R]: 5 
23-20-32.353000,[R]: 6 
23-20-32.355000,S 6 	RSSI: 44
23-20-32.357000,[R]: 7 
23-20-32.361000,[R]: 8 
23-20-32.365000,[R]: 1 
23-20-32.371000,[R]: 2 
23-20-32.373000,[R]: 50 
23-20-32.374000,[R]: 3 
23-20-32.378000,[R]: 4 
23-20-32.382000,[R]: 5 
23-20-32.386000,[R]: 6 
23-20-32.388000,S 6 	RSSI: 44
23-20-32.390000,[R]: 7 
23-20-32.394000,[R]: 8 
23-20-32.399000,[R]: 1 
23-20-32.403000,[R]: 2 
23-20-32.404000,[R]: 50 
23-20-32.407000,[R]: 3 
23-20-32.411000,[R]: 4 
23-20-32.415000,[R]: 5 
23-20-32.420000,[R]: 6 
23-20-32.428000,S 6 	RSSI: 44
23-20-32.429000,[R]: 7 
23-20-32.430000,[R]: 8 
23-20-32.431000,[R]: 1 
23-20-32.437000,[R]: 2 
23-20-32.440000,[R]: 50 
23-20-32.446000,[R]: 3 
23-20-32.447000,[R]: 4 
23-20-32.448000,[R]: 5 
23-20-32.451000,[R]: 6 
23-20-32.455000,[R]: 7 
23-20-32.457000,[R]: 20 
23-20-32.459000,[R]: 1 
23-20-32.464000,[R]: 2 
23-20-32.464000,[R]: 50 
23-20-32.468000,[R]: 3 
23-20-32.472000,[R]: 4 
23-20-32.476000,[R]: 5 
23-20-32.481000,[R]: 6 
23-20-32.482000,S 6 	RSSI: 44
23-20-32.484000,[R]: 7 
23-20-32.488000,[R]: 8 
23-20-32.493000,[R]: 1 
23-20-32.494000,S 1 	RSSI: 46
23-20-32.497000,[R]: 2 
23-20-32.497000,[R]: 50 
23-20-32.500000,[R]: 3 
23-20-32.505000,[R]: 4 
23-20-32.509000,[R]: 5 
23-20-32.513000,[R]: 6 
23-20-32.518000,[R]: 7 
23-20-32.521000,[R]: 8 
23-20-32.525000,[R]: 1 
23-20-32.527000,S 1 	RSSI: 46
23-20-32.530000,[R]: 2 
23-20-32.535000,[R]: 50 
23-20-32.536000,S 4 	RSSI: 44
23-20-32.536000,[R]: 3 
23-20-32.538000,[R]: 4 
23-20-32.544000,[R]: 5 
23-20-32.546000,[R]: 6 
23-20-32.550000,[R]: 7 
23-20-32.553000,S 4 	RSSI: 44
23-20-32.555000,[R]: 8 
23-20-32.560000,[R]: 1 
23-20-32.561000,S 1 	RSSI: 46
23-20-32.565000,[R]: 2 
23-20-32.566000,[R]: 50 
23-20-32.566000,S 7 	RSSI: 44
23-20-32.567000,[R]: 3 
23-20-32.570000,S 8 	RSSI: 44
23-20-32.573000,[R]: 4 
23-20-32.576000,[R]: 5 
23-20-32.577000,[R]: 20 
23-20-32.580000,[R]: 1 
23-20-32.584000,[R]: 2 
23-20-32.585000,[R]: 50 
23-20-32.588000,[R]: 3 
23-20-32.593000,[R]: 4 
23-20-32.594000,S 4 	RSSI: 44
23-20-32.597000,[R]: 5 
23-20-32.601000,[R]: 6 
23-20-32.605000,[R]: 7 
23-20-32.606000,S 7 	RSSI: 44
23-20-32.608000,[R]: 8 
23-20-32.610000,S 8 	RSSI: 44
23-20-32.613000,[R]: 1 
23-20-32.617000,[R]: 2 
23-20-32.619000,[R]: 50 
23-20-32.621000,[R]: 3 
23-20-32.629000,[R]: 4 
23-20-32.630000,[R]: 5 
23-20-32.635000,[R]: 6 
23-20-32.637000,[R]: 7 
23-20-32.641000,[R]: 8 
23-20-32.643000,S 8 	RSSI: 44
23-20-32.646000,[R]: 1 
23-20-32.648000,S 1 	RSSI: 46
23-20-32.650000,S 3 	RSSI: 44
23-20-32.651000,[R]: 2 
23-20-32.652000,[R]: 50 
23-20-32.654000,[R]: 3 
23-20-32.660000,[R]: 4 
23-20-32.663000,[R]: 5 
23-20-32.667000,[R]: 6 
23-20-32.670000,S 3 	RSSI: 44
23-20-32.671000,[R]: 7 
23-20-32.675000,[R]: 8 
23-20-32.681000,[R]: 1 
23-20-32.682000,S 1 	RSSI: 46
23-20-32.683000,S 6 	RSSI: 44
23-20-32.685000,[R]: 2 
23-20-32.686000,[R]: 50 
23-20-32.688000,[R]: 3 
23-20-32.692000,[R]: 4 
23-20-32.697000,[R]: 5 
23-20-32.698000,[R]: 20 
23-20-32.700000,[R]: 1 
23-20-32.705000,[R]: 2 
23-20-32.706000,[R]: 50 
23-20-32.709000,[R]: 3 
23-20-32.713000,[R]: 4 
23-20-32.715000,S 6 	RSSI: 44
23-20-32.717000,[R]: 5 
23-20-32.722000,[R]: 6 
23-20-32.725000,[R]: 7 
23-20-32.729000,[R]: 8 
23-20-32.734000,[R]: 1 
23-20-32.736000,S 1 	RSSI: 46
23-20-32.738000,[R]: 2 
23-20-32.739000,[R]: 50 
23-20-32.742000,[R]: 3 
23-20-32.746000,[R]: 4 
23-20-32.748000,S 6 	RSSI: 44
23-20-32.750000,[R]: 5 
23-20-32.755000,[R]: 6 
23-20-32.758000,[R]: 7 
23-20-32.762000,[R]: 8 
23-20-32.767000,[R]: 1 
23-20-32.768000,S 1 	RSSI: 46
23-20-32.771000,[R]: 2 
23-20-32.772000,[R]: 50 
23-20-32.775000,[R]: 3 
23-20-32.779000,[R]: 4 
23-20-32.780000,S 6 	RSSI: 44
23-20-32.783000,[R]: 5 
23-20-32.788000,[R]: 6 
23-20-32.791000,[R]: 7 
23-20-32.795000,[R]: 8 
23-20-32.798000,[R]: 1 
23-20-32.800000,S 1 	RSSI: 46
23-20-32.803000,[R]: 2 
23-20-32.807000,[R]: 50 
23-20-32.808000,[R]: 3 
23-20-32.811000,[R]: 4 
23-20-32.812000,S 6 	RSSI: 44
23-20-32.815000,[R]: 5 
23-20-32.817000,[R]: 20 
23-20-32.820000,[R]: 1 
23-20-32.821000,S 1 	RSSI: 46
23-20-32.824000,[R]: 2 
23-20-32.825000,[R]: 50 
23-20-32.826000,S 4 	RSSI: 44
23-20-32.828000,[R]: 3 
23-20-32.833000,[R]: 4 
23-20-32.835000,S 8 	RSSI: 44
23-20-32.838000,[R]: 5 
23-20-32.839000,S 7 	RSSI: 44
23-20-32.841000,[R]: 6 
23-20-32.846000,[R]: 7 
23-20-32.850000,[R]: 8 
23-20-32.855000,[R]: 1 
23-20-32.856000,S 1 	RSSI: 46
23-20-32.858000,[R]: 2 
23-20-32.862000,[R]: 50 
23-20-32.865000,[R]: 3 
23-20-32.873000,[R]: 4 
23-20-32.877000,S 8 	RSSI: 44
23-20-32.887000,[R]: 5 
23-20-32.892000,S 7 	RSSI: 44
23-20-32.903000,[R]: 6 
23-20-32.904000,[R]: 7 
23-20-32.905000,[R]: 8 
23-20-32.912000,[R]: 1 
23-20-32.913000,S 1 	RSSI: 46
23-20-32.916000,[R]: 2 
23-20-32.919000,[R]: 50 
23-20-32.921000,[R]: 3 
23-20-32.927000,[R]: 20 
23-20-32.929000,[R]: 1 
23-20-32.930000,[R]: 2 
23-20-32.931000,[R]: 50 
23-20-32.933000,[R]: 3 
23-20-32.944000,[R]: 4 
23-20-32.944000,[R]: 5 
23-20-32.945000,[R]: 6 
23-20-32.946000,[R]: 7 
23-20-32.946000,[R]: 8 
23-20-32.947000,[R]: 1 
23-20-32.947000,S 1 	RSSI: 46
23-20-32.948000,[R]: 2 
23-20-32.948000,[R]: 50 
23-20-32.949000,[R]: 3 
23-20-32.949000,[R]: 4 
23-20-32.950000,[R]: 5 
23-20-32.953000,[R]: 6 
23-20-32.957000,[R]: 7 
23-20-32.961000,[R]: 8 
23-20-32.965000,[R]: 1 
23-20-32.968000,S 1 	RSSI: 46
23-20-32.971000,[R]: 2 
23-20-32.973000,[R]: 50 
23-20-32.974000,[R]: 3 
23-20-32.978000,[R]: 4 
23-20-32.982000,[R]: 5 
23-20-32.986000,[R]: 6 
23-20-32.988000,S 3 	RSSI: 44
23-20-32.990000,[R]: 7 
23-20-32.995000,[R]: 8 
23-20-33.000000,[R]: 1 
23-20-33.001000,S 1 	RSSI: 46
23-20-33.005000,[R]: 2 
23-20-33.005000,[R]: 50 
23-20-33.007000,[R]: 3 
23-20-33.011000,[R]: 4 
23-20-33.015000,[R]: 5 
23-20-33.017000,[R]: 20 
23-20-33.020000,[R]: 1 
23-20-33.022000,S 1 	RSSI: 46
23-20-33.025000,[R]: 2 
23-20-33.026000,[R]: 50 
23-20-33.028000,[R]: 3 
23-20-33.030000,S 3 	RSSI: 44
23-20-33.033000,[R]: 4 
23-20-33.036000,[R]: 5 
23-20-33.040000,[R]: 6 
23-20-33.042000,S 6 	RSSI: 44
23-20-33.044000,[R]: 7 
23-20-33.048000,[R]: 8 
23-20-33.054000,[R]: 1 
23-20-33.056000,S 1 	RSSI: 47
23-20-33.057000,[R]: 2 
23-20-33.058000,[R]: 50 
23-20-33.062000,[R]: 3 
23-20-33.063000,S 3 	RSSI: 44
23-20-33.066000,[R]: 4 
23-20-33.069000,[R]: 5 
23-20-33.075000,[R]: 6 
23-20-33.075000,S 6 	RSSI: 44
23-20-33.077000,[R]: 7 
23-20-33.081000,[R]: 8 
23-20-33.087000,[R]: 1 
23-20-33.088000,S 1 	RSSI: 46
23-20-33.090000,[R]: 2 
23-20-33.091000,[R]: 50 
23-20-33.094000,[R]: 3 
23-20-33.095000,S 3 	RSSI: 44
23-20-33.099000,[R]: 4 
23-20-33.105000,[R]: 5 
