21-21-06.158000,----------------
21-22-14.292000,S 5 	RSSI: 45
21-22-14.296000,[R]: 0 
21-22-14.303000,[R]: 50 
21-22-14.317000,S 5 	RSSI: 45
21-22-14.324000,[R]: 50 
21-22-14.342000,S 5 	RSSI: 45
21-22-14.344000,[R]: 50 
21-22-14.362000,S 5 	RSSI: 45
21-22-14.365000,[R]: 50 
21-22-14.382000,S 5 	RSSI: 45
21-22-14.385000,[R]: 50 
21-22-14.403000,S 5 	RSSI: 46
21-22-14.406000,[R]: 50 
21-22-14.423000,S 5 	RSSI: 45
21-22-14.428000,[R]: 50 
21-22-14.444000,S 5 	RSSI: 46
21-22-14.447000,[R]: 50 
21-22-14.464000,S 5 	RSSI: 46
21-22-14.467000,[R]: 50 
21-22-14.471000,[R]: 0 
21-22-14.480000,[R]: 50 
21-22-14.493000,S 5 	RSSI: 46
21-22-14.496000,[R]: 0 
21-22-14.504000,[R]: 50 
21-22-14.517000,S 5 	RSSI: 46
21-22-14.522000,[R]: 0 
21-22-14.529000,[R]: 50 
21-22-14.534000,S 1 	RSSI: 51
21-22-14.535000,S 4 	RSSI: 46
21-22-14.546000,[R]: 0 
21-22-14.555000,[R]: 50 
21-22-14.556000,S 1 	RSSI: 50
21-22-14.564000,S 4 	RSSI: 46
21-22-14.571000,[R]: 0 
21-22-14.577000,S 3 	RSSI: 44
21-22-14.580000,[R]: 50 
21-22-14.597000,S 3 	RSSI: 44
21-22-14.599000,[R]: 50 
21-22-14.617000,S 3 	RSSI: 44
21-22-14.621000,[R]: 50 
21-22-14.622000,[R]: 0 
21-22-14.626000,S 1 	RSSI: 50
21-22-14.629000,[R]: 50 
21-22-14.633000,S 3 	RSSI: 44
21-22-14.646000,[R]: 0 
21-22-14.653000,[R]: 50 
21-22-14.659000,S 3 	RSSI: 44
21-22-14.672000,S 1 	RSSI: 50
21-22-14.673000,[R]: 0 
21-22-14.675000,S 1 	RSSI: 51
21-22-14.679000,[R]: 50 
21-22-14.683000,S 3 	RSSI: 44
21-22-14.696000,S 1 	RSSI: 50
21-22-14.699000,[R]: 50 
21-22-14.719000,[R]: 50 
21-22-14.740000,[R]: 50 
21-22-14.760000,[R]: 50 
21-22-14.769000,S 1 	RSSI: 50
21-22-14.781000,[R]: 50 
21-22-14.790000,S 1 	RSSI: 50
21-22-14.801000,[R]: 50 
21-22-14.822000,[R]: 50 
21-22-14.842000,[R]: 50 
21-22-14.846000,[R]: 0 
21-22-14.851000,S 1 	RSSI: 50
21-22-14.855000,[R]: 50 
21-22-14.871000,[R]: 0 
21-22-14.879000,[R]: 50 
21-22-14.894000,S 5 	RSSI: 48
21-22-14.896000,[R]: 0 
21-22-14.905000,[R]: 50 
21-22-14.914000,S 5 	RSSI: 47
21-22-14.918000,S 1 	RSSI: 50
21-22-14.921000,[R]: 0 
21-22-14.929000,[R]: 50 
21-22-14.939000,S 1 	RSSI: 50
21-22-14.943000,S 5 	RSSI: 47
21-22-14.946000,[R]: 0 
21-22-14.952000,S 1 	RSSI: 51
21-22-14.954000,[R]: 50 
21-22-14.966000,S 5 	RSSI: 47
21-22-14.972000,S 1 	RSSI: 50
21-22-14.972000,[R]: 0 
21-22-14.976000,S 1 	RSSI: 51
21-22-14.979000,[R]: 50 
21-22-14.996000,S 1 	RSSI: 50
21-22-14.997000,[R]: 0 
21-22-15.000000,S 1 	RSSI: 50
21-22-15.003000,[R]: 50 
21-22-15.013000,S 4 	RSSI: 46
21-22-15.022000,S 1 	RSSI: 50
21-22-15.022000,[R]: 0 
21-22-15.026000,S 1 	RSSI: 50
21-22-15.029000,[R]: 50 
