21-48-16.951000,[R]: 2 
21-48-16.951000,S 2 	RSSI: 44
21-48-16.981000,[R]: 1 
21-48-16.982000,[R]: 50 
21-48-16.986000,[R]: 2 
21-48-17.013000,S 2 	RSSI: 44
21-48-17.026000,[R]: 1 
21-48-17.027000,[R]: 50 
21-48-17.032000,[R]: 2 
21-48-17.033000,S 2 	RSSI: 44
21-48-17.033000,[R]: 20 
21-48-17.034000,[R]: 1 
21-48-17.034000,[R]: 50 
21-48-17.035000,[R]: 2 
21-48-17.035000,S 2 	RSSI: 44
21-48-17.035000,[R]: 1 
21-48-17.055000,[R]: 50 
21-48-17.060000,[R]: 2 
21-48-17.060000,S 2 	RSSI: 44
21-48-17.061000,[R]: 1 
21-48-17.062000,[R]: 50 
21-48-17.062000,[R]: 2 
21-48-17.073000,S 2 	RSSI: 44
21-48-17.073000,[R]: 1 
21-48-17.075000,[R]: 50 
21-48-17.101000,[R]: 2 
21-48-17.131000,[R]: 1 
21-48-17.131000,[R]: 50 
21-48-17.132000,[R]: 2 
21-48-17.151000,[R]: 1 
21-48-17.157000,[R]: 50 
21-48-17.157000,[R]: 2 
21-48-17.158000,S 2 	RSSI: 44
21-48-17.159000,[R]: 20 
21-48-17.194000,[R]: 1 
21-48-17.214000,[R]: 50 
21-48-17.215000,[R]: 2 
21-48-17.217000,S 2 	RSSI: 44
21-48-17.217000,[R]: 1 
21-48-17.231000,[R]: 50 
21-48-17.231000,[R]: 2 
21-48-17.232000,[R]: 1 
21-48-17.233000,[R]: 50 
21-48-17.233000,[R]: 2 
21-48-17.234000,S 2 	RSSI: 44
21-48-17.235000,[R]: 1 
21-48-17.235000,[R]: 50 
21-48-17.246000,[R]: 2 
21-48-17.247000,S 2 	RSSI: 44
21-48-17.260000,[R]: 1 
21-48-17.273000,[R]: 50 
21-48-17.278000,[R]: 2 
21-48-17.299000,S 2 	RSSI: 44
21-48-17.299000,[R]: 1 
21-48-17.303000,[R]: 50 
21-48-17.304000,[R]: 2 
21-48-17.312000,[R]: 20 
21-48-17.312000,[R]: 1 
21-48-17.313000,[R]: 50 
21-48-17.313000,[R]: 2 
21-48-17.314000,S 2 	RSSI: 44
21-48-17.314000,[R]: 1 
21-48-17.315000,[R]: 50 
21-48-17.325000,[R]: 2 
21-48-17.346000,S 2 	RSSI: 44
21-48-17.347000,[R]: 1 
21-48-17.347000,[R]: 50 
21-48-17.348000,[R]: 2 
21-48-17.359000,S 2 	RSSI: 44
21-48-17.376000,[R]: 1 
21-48-17.376000,[R]: 50 
21-48-17.377000,[R]: 2 
21-48-17.377000,S 2 	RSSI: 44
21-48-17.388000,[R]: 1 
21-48-17.389000,[R]: 50 
21-48-17.390000,[R]: 2 
21-48-17.399000,S 2 	RSSI: 44
21-48-17.400000,[R]: 1 
21-48-17.401000,[R]: 50 
21-48-17.401000,[R]: 2 
21-48-17.402000,S 2 	RSSI: 44
21-48-17.429000,[R]: 20 
21-48-17.429000,[R]: 1 
21-48-17.430000,[R]: 50 
21-48-17.430000,[R]: 2 
21-48-17.431000,S 2 	RSSI: 44
21-48-17.431000,[R]: 1 
21-48-17.432000,[R]: 50 
21-48-17.462000,[R]: 2 
21-48-17.498000,S 2 	RSSI: 44
21-48-17.510000,[R]: 1 
21-48-17.524000,[R]: 50 
21-48-17.524000,[R]: 2 
21-48-17.525000,S 2 	RSSI: 44
21-48-17.525000,[R]: 1 
21-48-17.549000,[R]: 50 
21-48-17.551000,[R]: 2 
21-48-17.561000,S 2 	RSSI: 44
21-48-17.568000,[R]: 1 
