13-36.459,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.462,"""D. send_req"""
13-36.468,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0-0 0-0 0-0 0"
13-36.509,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -48 0 0 0 0 53 0 0 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 71 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.518,"C-1 51-1 62-0 0-0 0-0 0-0 0-0 0-1 64-0 0-0 0-1 65-0 0-0 0"
13-36.570,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 71 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 0 61 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.572,"""E. send_req"""
13-36.579,"C-1 51-1 62-0 0-0 0-0 0-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0"
13-36.620,"S-0 48 0 0 0 0 0 0 0 0 0 0 0 -48 0 0 0 0 53 0 0 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.632,"C-1 51-1 62-0 0-0 0-0 0-0 0-0 0-1 64-0 0-0 0-1 65-0 0-0 0"
