20-01-50.037000,--------------------------------
20-01-54.872000,[R]: 1 
20-01-54.873000,S 1 	RSSI: 46
20-01-54.873000,[R]: 2 
20-01-54.874000,[R]: 50 
20-01-54.874000,[R]: 1 
20-01-54.875000,S 1 	RSSI: 46
20-01-54.877000,[R]: 2 
20-01-54.877000,[R]: 50 
20-01-54.878000,[R]: 20 
20-01-54.879000,[R]: 1 
20-01-54.880000,S 1 	RSSI: 45
20-01-54.885000,[R]: 2 
20-01-54.885000,[R]: 50 
20-01-54.888000,[R]: 1 
20-01-54.888000,S 1 	RSSI: 46
20-01-54.891000,[R]: 2 
20-01-54.891000,[R]: 50 
20-01-54.895000,[R]: 1 
20-01-54.897000,S 1 	RSSI: 45
20-01-54.900000,[R]: 2 
20-01-54.901000,[R]: 50 
20-01-54.902000,[R]: 1 
20-01-54.902000,S 1 	RSSI: 46
20-01-54.903000,[R]: 2 
20-01-54.903000,[R]: 50 
20-01-54.905000,[R]: 1 
20-01-54.910000,S 1 	RSSI: 46
20-01-54.911000,[R]: 2 
20-01-54.912000,[R]: 50 
20-01-54.915000,[R]: 1 
20-01-54.916000,S 1 	RSSI: 46
20-01-54.916000,[R]: 2 
20-01-54.917000,[R]: 50 
20-01-54.918000,[R]: 20 
20-01-54.918000,[R]: 1 
20-01-54.921000,S 1 	RSSI: 46
20-01-54.926000,[R]: 2 
20-01-54.926000,[R]: 50 
20-01-54.927000,[R]: 1 
20-01-54.927000,S 1 	RSSI: 46
20-01-54.928000,[R]: 2 
20-01-54.928000,[R]: 50 
20-01-54.930000,[R]: 1 
20-01-54.931000,S 1 	RSSI: 46
20-01-54.932000,[R]: 2 
20-01-54.932000,[R]: 50 
20-01-54.933000,[R]: 1 
20-01-54.934000,S 1 	RSSI: 46
20-01-54.941000,[R]: 2 
20-01-54.942000,[R]: 50 
20-01-54.943000,[R]: 1 
20-01-54.943000,S 1 	RSSI: 46
20-01-54.947000,[R]: 2 
20-01-54.952000,[R]: 50 
20-01-54.952000,[R]: 1 
20-01-54.953000,S 1 	RSSI: 46
20-01-54.954000,[R]: 2 
20-01-54.954000,[R]: 50 
20-01-54.955000,[R]: 20 
20-01-54.967000,[R]: 1 
20-01-54.967000,S 1 	RSSI: 46
20-01-54.970000,[R]: 2 
20-01-54.970000,[R]: 50 
20-01-54.973000,[R]: 1 
20-01-54.974000,S 1 	RSSI: 46
20-01-54.974000,[R]: 2 
20-01-54.975000,[R]: 50 
20-01-54.975000,[R]: 1 
20-01-54.976000,S 1 	RSSI: 46
20-01-54.977000,[R]: 2 
20-01-54.981000,[R]: 50 
20-01-54.984000,[R]: 1 
20-01-54.984000,S 1 	RSSI: 46
20-01-54.985000,[R]: 2 
20-01-54.988000,[R]: 50 
20-01-54.990000,[R]: 1 
20-01-54.991000,S 1 	RSSI: 46
20-01-54.992000,[R]: 2 
20-01-54.992000,[R]: 50 
20-01-54.993000,[R]: 1 
20-01-54.993000,S 1 	RSSI: 46
20-01-54.994000,[R]: 2 
20-01-54.994000,[R]: 50 
20-01-54.995000,[R]: 20 
20-01-54.996000,[R]: 1 
20-01-55.002000,S 1 	RSSI: 46
20-01-55.002000,[R]: 2 
20-01-55.003000,[R]: 50 
20-01-55.004000,[R]: 1 
20-01-55.004000,S 1 	RSSI: 46
20-01-55.005000,[R]: 2 
20-01-55.005000,[R]: 50 
20-01-55.006000,[R]: 1 
20-01-55.007000,S 1 	RSSI: 46
20-01-55.014000,[R]: 2 
20-01-55.014000,[R]: 50 
20-01-55.019000,[R]: 1 
20-01-55.021000,S 1 	RSSI: 46
20-01-55.022000,[R]: 2 
20-01-55.023000,[R]: 50 
20-01-55.023000,[R]: 1 
20-01-55.024000,S 1 	RSSI: 46
20-01-55.025000,[R]: 2 
20-01-55.025000,[R]: 50 
20-01-55.026000,[R]: 1 
20-01-55.026000,S 1 	RSSI: 46
20-01-55.027000,[R]: 2 
20-01-55.027000,[R]: 50 
20-01-55.028000,[R]: 20 
20-01-55.028000,[R]: 1 
20-01-55.036000,S 1 	RSSI: 46
20-01-55.036000,[R]: 2 
20-01-55.040000,[R]: 50 
20-01-55.041000,[R]: 1 
20-01-55.041000,S 1 	RSSI: 46
20-01-55.042000,[R]: 2 
20-01-55.042000,[R]: 50 
20-01-55.043000,[R]: 1 
20-01-55.043000,S 1 	RSSI: 46
20-01-55.047000,[R]: 2 
20-01-55.047000,[R]: 50 
20-01-55.048000,[R]: 1 
20-01-55.049000,S 1 	RSSI: 46
20-01-55.051000,[R]: 2 
20-01-55.053000,[R]: 50 
20-01-55.053000,[R]: 1 
20-01-55.054000,S 1 	RSSI: 46
20-01-55.054000,[R]: 2 
20-01-55.057000,[R]: 50 
20-01-55.057000,[R]: 1 
20-01-55.058000,S 1 	RSSI: 46
20-01-55.058000,[R]: 2 
20-01-55.059000,[R]: 50 
20-01-55.059000,[R]: 20 
20-01-55.060000,[R]: 1 
20-01-55.060000,S 1 	RSSI: 46
20-01-55.061000,[R]: 2 
20-01-55.062000,[R]: 50 
20-01-55.064000,[R]: 1 
20-01-55.067000,S 1 	RSSI: 46
20-01-55.068000,[R]: 2 
20-01-55.069000,[R]: 50 
20-01-55.069000,[R]: 1 
20-01-55.070000,S 1 	RSSI: 46
20-01-55.075000,[R]: 2 
20-01-55.077000,[R]: 50 
20-01-55.077000,[R]: 1 
20-01-55.078000,S 1 	RSSI: 46
20-01-55.078000,[R]: 2 
20-01-55.079000,[R]: 50 
20-01-55.081000,[R]: 1 
20-01-55.082000,S 1 	RSSI: 46
20-01-55.087000,[R]: 2 
20-01-55.088000,[R]: 50 
20-01-55.089000,[R]: 1 
20-01-55.090000,S 1 	RSSI: 46
20-01-55.090000,[R]: 2 
20-01-55.091000,[R]: 50 
20-01-55.092000,[R]: 20 
20-01-55.093000,[R]: 1 
20-01-55.093000,S 1 	RSSI: 46
20-01-55.094000,[R]: 2 
20-01-55.094000,[R]: 50 
20-01-55.095000,[R]: 1 
20-01-55.098000,S 1 	RSSI: 46
20-01-55.099000,[R]: 2 
20-01-55.101000,[R]: 50 
20-01-55.101000,[R]: 1 
20-01-55.102000,S 1 	RSSI: 46
20-01-55.103000,[R]: 2 
20-01-55.103000,[R]: 50 
20-01-55.104000,[R]: 1 
20-01-55.109000,S 1 	RSSI: 46
20-01-55.109000,[R]: 2 
20-01-55.111000,[R]: 50 
20-01-55.111000,[R]: 1 
20-01-55.115000,S 1 	RSSI: 46
20-01-55.116000,[R]: 2 
20-01-55.118000,[R]: 50 
20-01-55.120000,[R]: 1 
20-01-55.120000,S 1 	RSSI: 46
