09-46-31.936000,-------------------
09-46-33.989000,[R]: 20 
09-46-33.990000,[R]: 10 
09-46-33.990000,[R]: 1 
09-46-33.991000,[R]: 50 
09-46-33.992000,[R]: 20 
09-46-33.996000,[R]: 10 
09-46-33.998000,[R]: 1 
09-46-33.998000,[R]: 50 
09-46-34.000000,[R]: 10 
09-46-34.002000,[R]: 2 
09-46-34.015000,S 2 	RSSI: 45
09-46-34.016000,[R]: 10 
09-46-34.034000,[R]: 1 
09-46-34.040000,[R]: 50 
09-46-34.041000,[R]: 20 
09-46-34.041000,[R]: 10 
09-46-34.053000,[R]: 1 
09-46-34.058000,[R]: 50 
09-46-34.059000,[R]: 10 
09-46-34.075000,[R]: 2 
09-46-34.076000,[R]: 10 
09-46-34.077000,[R]: 1 
09-46-34.077000,[R]: 50 
09-46-34.078000,S 2 	RSSI: 45
09-46-34.078000,[R]: 10 
09-46-34.079000,[R]: 2 
09-46-34.080000,[R]: 20 
09-46-34.080000,[R]: 10 
09-46-34.085000,[R]: 1 
09-46-34.085000,[R]: 50 
09-46-34.086000,[R]: 10 
09-46-34.086000,[R]: 2 
09-46-34.087000,[R]: 10 
09-46-34.087000,[R]: 1 
09-46-34.088000,[R]: 50 
09-46-34.088000,[R]: 20 
09-46-34.089000,[R]: 10 
09-46-34.089000,[R]: 1 
09-46-34.090000,[R]: 50 
09-46-34.090000,[R]: 20 
09-46-34.091000,[R]: 10 
09-46-34.092000,[R]: 1 
09-46-34.121000,[R]: 50 
09-46-34.121000,[R]: 10 
09-46-34.122000,[R]: 2 
09-46-34.123000,S 2 	RSSI: 45
09-46-34.142000,[R]: 10 
09-46-34.146000,[R]: 1 
09-46-34.158000,[R]: 50 
09-46-34.159000,[R]: 20 
09-46-34.160000,[R]: 10 
09-46-34.160000,[R]: 1 
09-46-34.161000,[R]: 50 
09-46-34.162000,[R]: 10 
09-46-34.162000,[R]: 2 
09-46-34.163000,[R]: 10 
09-46-34.163000,[R]: 1 
09-46-34.187000,[R]: 50 
09-46-34.187000,S 2 	RSSI: 45
09-46-34.188000,[R]: 10 
09-46-34.188000,[R]: 2 
09-46-34.197000,[R]: 20 
09-46-34.198000,[R]: 10 
09-46-34.207000,[R]: 1 
09-46-34.210000,[R]: 50 
09-46-34.211000,[R]: 10 
09-46-34.211000,[R]: 2 
09-46-34.212000,[R]: 10 
09-46-34.220000,[R]: 1 
09-46-34.221000,[R]: 50 
09-46-34.222000,[R]: 20 
09-46-34.222000,[R]: 10 
09-46-34.232000,[R]: 1 
09-46-34.232000,[R]: 50 
09-46-34.233000,[R]: 20 
09-46-34.233000,[R]: 10 
09-46-34.239000,[R]: 1 
09-46-34.239000,[R]: 50 
09-46-34.240000,[R]: 10 
09-46-34.243000,[R]: 2 
09-46-34.250000,S 2 	RSSI: 45
09-46-34.251000,[R]: 10 
09-46-34.252000,[R]: 1 
09-46-34.252000,[R]: 50 
09-46-34.253000,[R]: 20 
09-46-34.253000,[R]: 10 
09-46-34.254000,[R]: 1 
09-46-34.254000,[R]: 50 
09-46-34.261000,[R]: 10 
09-46-34.263000,[R]: 2 
09-46-34.264000,[R]: 10 
09-46-34.265000,[R]: 1 
09-46-34.266000,[R]: 50 
09-46-34.277000,S 2 	RSSI: 45
09-46-34.277000,[R]: 10 
09-46-34.278000,[R]: 2 
09-46-34.279000,[R]: 20 
09-46-34.279000,[R]: 10 
09-46-34.285000,[R]: 1 
09-46-34.286000,[R]: 50 
09-46-34.287000,[R]: 10 
09-46-34.295000,[R]: 2 
09-46-34.296000,[R]: 10 
09-46-34.318000,[R]: 1 
09-46-34.319000,[R]: 50 
09-46-34.328000,[R]: 20 
09-46-34.330000,[R]: 10 
09-46-34.331000,[R]: 1 
09-46-34.348000,[R]: 50 
09-46-34.349000,[R]: 20 
09-46-34.351000,[R]: 10 
09-46-34.351000,[R]: 1 
09-46-34.352000,[R]: 50 
09-46-34.353000,[R]: 10 
09-46-34.372000,[R]: 2 
09-46-34.373000,S 2 	RSSI: 45
09-46-34.373000,[R]: 10 
09-46-34.375000,[R]: 1 
09-46-34.379000,[R]: 50 
09-46-34.380000,[R]: 20 
09-46-34.380000,[R]: 10 
09-46-34.384000,[R]: 1 
09-46-34.389000,[R]: 50 
09-46-34.389000,[R]: 10 
09-46-34.390000,[R]: 2 
09-46-34.391000,[R]: 10 
09-46-34.391000,[R]: 1 
09-46-34.396000,[R]: 50 
09-46-34.405000,S 2 	RSSI: 45
09-46-34.417000,[R]: 10 
09-46-34.418000,[R]: 2 
09-46-34.420000,[R]: 20 
09-46-34.421000,[R]: 10 
09-46-34.421000,[R]: 1 
09-46-34.430000,[R]: 50 
09-46-34.430000,[R]: 10 
09-46-34.431000,[R]: 2 
09-46-34.432000,[R]: 10 
09-46-34.432000,[R]: 1 
09-46-34.441000,[R]: 50 
09-46-34.441000,S 2 	RSSI: 45
09-46-34.453000,[R]: 10 
09-46-34.462000,[R]: 2 
09-46-34.463000,[R]: 20 
09-46-34.465000,[R]: 10 
09-46-34.466000,[R]: 1 
09-46-34.467000,[R]: 50 
09-46-34.469000,[R]: 10 
09-46-34.484000,[R]: 2 
09-46-34.488000,S 2 	RSSI: 45
09-46-34.489000,[R]: 10 
09-46-34.489000,[R]: 1 
09-46-34.490000,[R]: 50 
09-46-34.490000,[R]: 20 
09-46-34.497000,[R]: 10 
09-46-34.498000,[R]: 1 
09-46-34.499000,[R]: 50 
09-46-34.514000,[R]: 10 
09-46-34.515000,[R]: 2 
09-46-34.515000,[R]: 10 
09-46-34.525000,[R]: 1 
09-46-34.540000,[R]: 50 
09-46-34.545000,S 2 	RSSI: 45
09-46-34.545000,[R]: 10 
09-46-34.545000,[R]: 2 
09-46-34.545000,[R]: 20 
09-46-34.546000,[R]: 10 
09-46-34.547000,[R]: 1 
09-46-34.547000,[R]: 50 
09-46-34.555000,[R]: 10 
09-46-34.561000,[R]: 2 
09-46-34.561000,[R]: 10 
09-46-34.567000,[R]: 1 
09-46-34.568000,[R]: 50 
09-46-34.569000,[R]: 20 
09-46-34.577000,[R]: 10 
09-46-34.578000,[R]: 1 
09-46-34.578000,[R]: 50 
09-46-34.579000,[R]: 20 
09-46-34.580000,[R]: 10 
09-46-34.580000,[R]: 1 
09-46-34.590000,[R]: 50 
09-46-34.590000,[R]: 10 
09-46-34.591000,[R]: 2 
09-46-34.598000,S 2 	RSSI: 45
09-46-34.598000,[R]: 10 
09-46-34.599000,[R]: 1 
09-46-34.600000,[R]: 50 
09-46-34.600000,[R]: 20 
09-46-34.600000,[R]: 10 
09-46-34.601000,[R]: 1 
09-46-34.602000,[R]: 50 
09-46-34.602000,[R]: 10 
09-46-34.603000,[R]: 2 
09-46-34.617000,[R]: 10 
09-46-34.618000,[R]: 1 
09-46-34.618000,[R]: 50 
09-46-34.619000,S 2 	RSSI: 45
09-46-34.619000,[R]: 10 
09-46-34.620000,[R]: 2 
09-46-34.621000,[R]: 20 
09-46-34.621000,[R]: 10 
09-46-34.622000,[R]: 1 
09-46-34.622000,[R]: 50 
09-46-34.627000,[R]: 10 
09-46-34.628000,[R]: 2 
09-46-34.628000,[R]: 10 
09-46-34.629000,[R]: 1 
09-46-34.630000,[R]: 50 
09-46-34.630000,[R]: 20 
09-46-34.639000,[R]: 10 
09-46-34.640000,[R]: 1 
09-46-34.641000,[R]: 50 
09-46-34.641000,[R]: 20 
09-46-34.650000,[R]: 10 
09-46-34.652000,[R]: 1 
09-46-34.653000,[R]: 50 
09-46-34.654000,[R]: 10 
09-46-34.654000,[R]: 2 
09-46-34.655000,S 2 	RSSI: 45
09-46-34.655000,[R]: 10 
09-46-34.656000,[R]: 1 
09-46-34.657000,[R]: 50 
09-46-34.661000,[R]: 20 
09-46-34.684000,[R]: 10 
09-46-34.684000,[R]: 1 
09-46-34.686000,[R]: 50 
09-46-34.686000,[R]: 10 
09-46-34.687000,[R]: 2 
09-46-34.688000,[R]: 10 
09-46-34.693000,[R]: 10 
09-46-34.694000,[R]: 1 
09-46-34.695000,[R]: 50 
09-46-34.715000,S 2 	RSSI: 45
09-46-34.716000,[R]: 10 
09-46-34.717000,[R]: 2 
09-46-34.717000,[R]: 20 
09-46-34.718000,[R]: 10 
09-46-34.720000,[R]: 1 
09-46-34.720000,[R]: 50 
09-46-34.721000,[R]: 10 
09-46-34.721000,[R]: 2 
09-46-34.735000,[R]: 10 
09-46-34.741000,[R]: 1 
09-46-34.746000,[R]: 50 
09-46-34.746000,[R]: 20 
09-46-34.748000,[R]: 10 
09-46-34.749000,[R]: 1 
09-46-34.750000,[R]: 50 
09-46-34.750000,[R]: 20 
09-46-34.751000,[R]: 10 
09-46-34.752000,[R]: 1 
09-46-34.752000,[R]: 50 
09-46-34.753000,[R]: 10 
09-46-34.753000,[R]: 2 
09-46-34.770000,S 2 	RSSI: 45
09-46-34.772000,[R]: 10 
09-46-34.773000,[R]: 1 
09-46-34.774000,[R]: 50 
09-46-34.775000,[R]: 10 
09-46-34.781000,[R]: 2 
09-46-34.781000,[R]: 10 
09-46-34.782000,[R]: 1 
09-46-34.795000,[R]: 50 
09-46-34.795000,[R]: 10 
09-46-34.797000,[R]: 2 
09-46-34.804000,[R]: 20 
09-46-34.805000,[R]: 10 
09-46-34.805000,[R]: 1 
09-46-34.806000,[R]: 50 
09-46-34.806000,[R]: 20 
09-46-34.807000,[R]: 10 
09-46-34.807000,[R]: 1 
09-46-34.808000,[R]: 50 
09-46-34.808000,[R]: 10 
09-46-34.808000,[R]: 2 
09-46-34.811000,S 2 	RSSI: 45
09-46-34.812000,[R]: 10 
09-46-34.813000,[R]: 1 
09-46-34.813000,[R]: 50 
09-46-34.814000,[R]: 20 
09-46-34.814000,[R]: 10 
09-46-34.815000,[R]: 1 
09-46-34.815000,[R]: 50 
09-46-34.816000,S 2 	RSSI: 45
09-46-34.816000,[R]: 20 
09-46-34.817000,[R]: 10 
09-46-34.817000,[R]: 1 
09-46-34.827000,[R]: 50 
09-46-34.837000,[R]: 10 
09-46-34.837000,[R]: 2 
09-46-34.838000,S 2 	RSSI: 45
09-46-34.838000,[R]: 10 
09-46-34.839000,[R]: 1 
09-46-34.841000,[R]: 50 
09-46-34.841000,[R]: 20 
09-46-34.846000,[R]: 10 
09-46-34.847000,[R]: 1 
09-46-34.854000,[R]: 50 
09-46-34.855000,[R]: 10 
09-46-34.857000,[R]: 2 
09-46-34.858000,[R]: 10 
09-46-34.859000,[R]: 1 
09-46-34.880000,[R]: 50 
09-46-34.885000,S 2 	RSSI: 45
09-46-34.889000,[R]: 10 
09-46-34.890000,[R]: 2 
09-46-34.891000,[R]: 20 
09-46-34.900000,[R]: 10 
