22-04-56.525000,"""Program init"""
22-07-56.541000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.543000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.546000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.550000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.554000,"""COUNT 1 1 1 1"
22-07-56.556000,[0] 58 60 69
22-07-56.557000,[1] 45 60
22-07-56.558000,[2] 73
22-07-56.559000,""""
22-07-56.562000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.563000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.570000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.571000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.575000,"""COUNT 1 1 1 1"
22-07-56.576000,[0] 58 60 69
22-07-56.577000,[1] 44 60
22-07-56.578000,[2] 72
22-07-56.579000,""""
22-07-56.582000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.584000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.589000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.594000,"""COUNT 1 0 1 1"
22-07-56.594000,[0] 0 0 0
22-07-56.595000,[1] 44 60
22-07-56.596000,[2] 71
22-07-56.596000,""""
22-07-56.600000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.602000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.605000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.607000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.611000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.614000,"""COUNT 1 2 1 1"
22-07-56.615000,[0] 58 0 0
22-07-56.616000,[1] 44 60
22-07-56.617000,[2] 72
22-07-56.617000,""""
22-07-56.620000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.623000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.626000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.630000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.633000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.635000,"""COUNT 1 1 2 1"
22-07-56.637000,[0] 58 60 68
22-07-56.637000,[1] 44 60
22-07-56.638000,[2] 72
22-07-56.638000,""""
22-07-56.641000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.644000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.652000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.653000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.654000,"""COUNT 1 1 1 1"
22-07-56.656000,[0] 58 0 69
22-07-56.656000,[1] 0 60
22-07-56.658000,[2] 71
22-07-56.658000,""""
22-07-56.661000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.664000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.667000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.669000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.672000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.675000,"""COUNT 2 1 1 1"
22-07-56.676000,[0] 58 60 0
22-07-56.677000,[1] 44 61
22-07-56.678000,[2] 0
22-07-56.678000,""""
22-07-56.681000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.683000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.686000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.689000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.694000,"""COUNT 1 1 1 1"
22-07-56.696000,[0] 58 60 68
22-07-56.697000,[1] 44 60
22-07-56.698000,[2] 70
22-07-56.700000,""""
22-07-56.701000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.703000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.706000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.709000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.715000,"""COUNT 1 1 1 1"
22-07-56.717000,[0] 58 60 69
22-07-56.718000,[1] 44 60
22-07-56.719000,[2] 70
22-07-56.720000,""""
22-07-56.722000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.724000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.727000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.730000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.734000,"""COUNT 1 1 1 1"
22-07-56.735000,[0] 0 0 68
22-07-56.736000,[1] 44 60
22-07-56.737000,[2] 70
22-07-56.738000,""""
22-07-56.740000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.743000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.745000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.749000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.751000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.755000,"""COUNT 1 2 1 1"
22-07-56.756000,[0] 58 59 69
22-07-56.757000,[1] 44 61
22-07-56.758000,[2] 71
22-07-56.759000,""""
22-07-56.761000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.764000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.767000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.770000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.774000,"""COUNT 1 0 2 1"
22-07-56.775000,[0] 0 59 69
22-07-56.777000,[1] 45 0
22-07-56.777000,[2] 70
22-07-56.778000,""""
22-07-56.780000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.782000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.785000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.788000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.791000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.794000,"""COUNT 1 1 1 2"
22-07-56.796000,[0] 58 60 0
22-07-56.802000,[1] 44 61
22-07-56.803000,[2] 69
22-07-56.803000,""""
22-07-56.804000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.805000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.807000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.809000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.813000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.816000,"""COUNT 2 1 1 1"
22-07-56.817000,[0] 58 60 0
22-07-56.817000,[1] 44 61
22-07-56.819000,[2] 69
22-07-56.819000,""""
22-07-56.821000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.825000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.827000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.830000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.835000,"""COUNT 1 1 1 1"
22-07-56.836000,[0] 58 60 69
22-07-56.837000,[1] 44 61
22-07-56.838000,[2] 69
22-07-56.839000,""""
22-07-56.841000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.844000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.846000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.850000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.855000,"""COUNT 1 1 1 1"
22-07-56.856000,[0] 58 60 70
22-07-56.857000,[1] 44 60
22-07-56.858000,[2] 69
22-07-56.859000,""""
22-07-56.862000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.864000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.867000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.871000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.875000,"""COUNT 1 1 1 1"
22-07-56.875000,[0] 0 0 0
22-07-56.877000,[1] 44 60
22-07-56.877000,[2] 69
22-07-56.878000,""""
22-07-56.880000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.883000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.886000,"""[RSP] Sensor: 4. RSSI: 79"""
22-07-56.889000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.892000,"""[RSP] Sensor: 2. RSSI: 68"""
22-07-56.895000,"""COUNT 1 2 1 1"
22-07-56.896000,[0] 58 60 69
22-07-56.897000,[1] 44 60
22-07-56.898000,[2] 70
22-07-56.899000,""""
22-07-56.901000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.904000,"""[RSP] Sensor: 4. RSSI: 80"""
22-07-56.906000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.911000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.913000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.915000,"""COUNT 1 1 2 1"
22-07-56.916000,[0] 58 0 70
22-07-56.918000,[1] 44 58
22-07-56.919000,[2] 72
22-07-56.919000,""""
22-07-56.921000,"""[RSP] Sensor: 4. RSSI: 80"""
22-07-56.924000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.926000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.930000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.933000,"""[RSP] Sensor: 4. RSSI: 80"""
22-07-56.935000,"""COUNT 1 1 1 2"
22-07-56.936000,[0] 58 0 71
22-07-56.938000,[1] 44 57
22-07-56.938000,[2] 76
22-07-56.939000,""""
22-07-56.941000,"""[RSP] Sensor: 1. RSSI: 60"""
