23-20-43.858000,[R]: 2 
23-20-43.861000,[R]: 3 
23-20-43.866000,[R]: 4 
23-20-43.870000,S 6 	RSSI: 53
23-20-43.871000,[R]: 5 
23-20-43.873000,[R]: 6 
23-20-43.880000,[R]: 7 
23-20-43.887000,[R]: 8 
23-20-43.887000,S 2 	RSSI: 46
23-20-43.891000,[R]: 1 
23-20-43.891000,[R]: 50 
23-20-43.892000,[R]: 2 
23-20-43.894000,[R]: 3 
23-20-43.901000,[R]: 4 
23-20-43.902000,S 6 	RSSI: 53
23-20-43.903000,[R]: 5 
23-20-43.908000,[R]: 6 
23-20-43.926000,[R]: 7 
23-20-43.926000,[R]: 8 
23-20-43.931000,S 2 	RSSI: 46
23-20-43.931000,[R]: 1 
23-20-43.932000,[R]: 50 
23-20-43.934000,[R]: 2 
23-20-43.935000,S 7 	RSSI: 44
23-20-43.935000,[R]: 3 
23-20-43.938000,[R]: 4 
23-20-43.938000,[R]: 5 
23-20-43.943000,[R]: 20 
23-20-43.959000,[R]: 1 
23-20-43.960000,[R]: 50 
23-20-43.960000,[R]: 2 
23-20-43.966000,S 4 	RSSI: 68
23-20-43.967000,[R]: 3 
23-20-43.968000,[R]: 4 
23-20-43.968000,S 8 	RSSI: 48
23-20-43.969000,[R]: 5 
23-20-43.970000,[R]: 6 
23-20-43.970000,[R]: 7 
23-20-43.977000,S 3 	RSSI: 53
23-20-43.978000,[R]: 8 
23-20-43.978000,[R]: 1 
23-20-43.980000,[R]: 50 
23-20-43.994000,[R]: 2 
23-20-43.994000,[R]: 3 
23-20-43.995000,[R]: 4 
23-20-43.995000,S 8 	RSSI: 47
23-20-43.996000,[R]: 5 
23-20-43.996000,[R]: 6 
23-20-44.004000,[R]: 7 
23-20-44.004000,[R]: 8 
23-20-44.010000,[R]: 1 
23-20-44.013000,[R]: 50 
23-20-44.014000,[R]: 2 
23-20-44.014000,[R]: 3 
23-20-44.040000,[R]: 20 
23-20-44.040000,[R]: 1 
23-20-44.041000,[R]: 50 
23-20-44.042000,[R]: 2 
23-20-44.042000,[R]: 3 
23-20-44.043000,S 3 	RSSI: 55
23-20-44.044000,[R]: 4 
23-20-44.046000,[R]: 5 
23-20-44.052000,[R]: 6 
23-20-44.054000,[R]: 7 
23-20-44.054000,[R]: 8 
23-20-44.059000,[R]: 1 
23-20-44.062000,[R]: 50 
23-20-44.063000,[R]: 2 
23-20-44.063000,[R]: 3 
23-20-44.064000,S 3 	RSSI: 55
23-20-44.076000,[R]: 4 
23-20-44.077000,[R]: 5 
23-20-44.078000,[R]: 6 
23-20-44.078000,[R]: 7 
23-20-44.080000,[R]: 8 
23-20-44.085000,[R]: 1 
23-20-44.104000,[R]: 50 
23-20-44.104000,[R]: 2 
23-20-44.105000,[R]: 3 
23-20-44.106000,S 3 	RSSI: 54
23-20-44.106000,S 6 	RSSI: 51
23-20-44.107000,[R]: 4 
23-20-44.107000,[R]: 5 
23-20-44.108000,[R]: 6 
23-20-44.118000,[R]: 7 
23-20-44.119000,[R]: 8 
23-20-44.123000,[R]: 1 
23-20-44.124000,[R]: 50 
23-20-44.153000,[R]: 2 
23-20-44.154000,[R]: 3 
23-20-44.155000,[R]: 4 
23-20-44.285000,[R]: 5 
23-20-44.286000,[R]: 20 
23-20-44.287000,[R]: 1 
23-20-44.287000,[R]: 50 
23-20-44.287000,[R]: 2 
23-20-44.328000,[R]: 3 
23-20-44.328000,[R]: 4 
23-20-44.329000,[R]: 5 
23-20-44.329000,[R]: 6 
23-20-44.331000,S 6 	RSSI: 52
23-20-44.331000,[R]: 7 
23-20-44.376000,[R]: 8 
23-20-44.401000,[R]: 1 
23-20-44.402000,[R]: 50 
23-20-44.418000,[R]: 2 
23-20-44.419000,[R]: 3 
23-20-44.419000,[R]: 4 
23-20-44.420000,S 7 	RSSI: 44
23-20-44.426000,[R]: 5 
23-20-44.431000,[R]: 6 
23-20-44.443000,[R]: 7 
23-20-44.443000,[R]: 8 
23-20-44.457000,[R]: 1 
23-20-44.458000,[R]: 50 
23-20-44.458000,S 4 	RSSI: 63
23-20-44.459000,[R]: 2 
23-20-44.462000,S 8 	RSSI: 48
23-20-44.462000,[R]: 3 
23-20-44.463000,[R]: 20 
23-20-44.463000,[R]: 1 
23-20-44.464000,[R]: 50 
23-20-44.476000,[R]: 2 
23-20-44.477000,[R]: 3 
23-20-44.478000,[R]: 4 
23-20-44.479000,[R]: 5 
23-20-44.479000,[R]: 6 
23-20-44.480000,[R]: 7 
23-20-44.480000,S 3 	RSSI: 54
23-20-44.481000,[R]: 8 
23-20-44.481000,[R]: 1 
23-20-44.510000,[R]: 50 
23-20-44.511000,[R]: 2 
23-20-44.517000,S 6 	RSSI: 51
23-20-44.518000,[R]: 3 
23-20-44.558000,[R]: 4 
23-20-44.558000,[R]: 5 
23-20-44.560000,[R]: 6 
23-20-44.560000,[R]: 7 
23-20-44.603000,[R]: 8 
23-20-44.604000,[R]: 1 
23-20-44.636000,[R]: 50 
23-20-44.638000,[R]: 2 
23-20-44.638000,S 6 	RSSI: 51
23-20-44.639000,[R]: 3 
23-20-44.664000,[R]: 20 
23-20-44.665000,[R]: 1 
23-20-44.672000,[R]: 50 
23-20-44.693000,[R]: 2 
23-20-44.695000,S 4 	RSSI: 62
23-20-44.696000,[R]: 3 
23-20-44.697000,[R]: 4 
23-20-44.697000,S 8 	RSSI: 47
