22-16-50.266000,"ÿ""Scanner enabled\r\n"""
22-17-03.116000,[0] 0 65
22-17-03.117000,""""
22-17-03.119000,"""Sensor: 2. RSSI: 69"""
22-17-03.125000,"""Sensor: 1. RSSI: 60"""
22-17-03.126000,"""COUNT 1 1"
22-17-03.126000,[0] 0 0
22-17-03.127000,""""
22-17-03.128000,"""Sensor: 2. RSSI: 69"""
22-17-03.133000,"""Sensor: 1. RSSI: 60"""
22-17-03.136000,"""COUNT 1 1"
22-17-03.136000,[0] 0 0
22-17-03.137000,""""
22-17-03.141000,"""Sensor: 1. RSSI: 60"""
22-17-03.145000,"""Sensor: 2. RSSI: 69"""
22-17-03.146000,"""COUNT 1 1"
22-17-03.147000,[0] 0 0
22-17-03.147000,""""
22-17-03.149000,"""Sensor: 1. RSSI: 60"""
22-17-03.153000,"""Sensor: 2. RSSI: 69"""
22-17-03.156000,"""COUNT 1 1"
22-17-03.156000,[0] 0 0
22-17-03.157000,""""
22-17-03.165000,"""COUNT 0 0"
22-17-03.166000,[0] 0 0
22-17-03.167000,""""
22-17-03.171000,"""Sensor: 1. RSSI: 60"""
22-17-03.174000,"""Sensor: 2. RSSI: 69"""
22-17-03.176000,"""COUNT 1 1"
22-17-03.176000,[0] 0 0
22-17-03.177000,""""
22-17-03.178000,"""Sensor: 1. RSSI: 60"""
22-17-03.181000,"""Sensor: 2. RSSI: 69"""
22-17-03.186000,"""COUNT 1 1"
22-17-03.187000,[0] 0 65
22-17-03.187000,""""
22-17-03.190000,"""Sensor: 2. RSSI: 69"""
22-17-03.195000,"""Sensor: 1. RSSI: 60"""
22-17-03.198000,"""COUNT 1 1"
22-17-03.198000,[0] 0 65
22-17-03.199000,""""
22-17-03.200000,"""Sensor: 2. RSSI: 69"""
22-17-03.203000,"""Sensor: 1. RSSI: 60"""
22-17-03.206000,"""COUNT 1 1"
22-17-03.206000,[0] 0 0
22-17-03.207000,""""
22-17-03.211000,"""Sensor: 1. RSSI: 60"""
22-17-03.215000,"""Sensor: 2. RSSI: 69"""
22-17-03.216000,"""COUNT 1 1"
22-17-03.217000,[0] 0 0
22-17-03.217000,""""
22-17-03.220000,"""Sensor: 1. RSSI: 60"""
22-17-03.224000,"""Sensor: 2. RSSI: 69"""
22-17-03.226000,"""COUNT 1 1"
22-17-03.227000,[0] 0 0
22-17-03.228000,""""
22-17-03.228000,"""Sensor: 1. RSSI: 60"""
22-17-03.232000,"""Sensor: 2. RSSI: 68"""
22-17-03.236000,"""COUNT 1 1"
22-17-03.237000,[0] 0 0
22-17-03.237000,""""
22-17-03.241000,"""Sensor: 1. RSSI: 60"""
22-17-03.244000,"""Sensor: 2. RSSI: 68"""
22-17-03.247000,"""COUNT 1 1"
22-17-03.247000,[0] 0 0
22-17-03.248000,""""
22-17-03.248000,"""Sensor: 1. RSSI: 60"""
22-17-03.253000,"""Sensor: 2. RSSI: 69"""
22-17-03.257000,"""COUNT 1 1"
22-17-03.262000,[0] 0 66
22-17-03.263000,""""
22-17-03.263000,"""Sensor: 2. RSSI: 68"""
22-17-03.267000,"""COUNT 0 1"
22-17-03.268000,[0] 0 0
22-17-03.268000,""""
22-17-03.270000,"""Sensor: 2. RSSI: 69"""
22-17-03.271000,"""Sensor: 1. RSSI: 59"""
22-17-03.276000,"""COUNT 1 1"
22-17-03.277000,[0] 0 0
22-17-03.277000,""""
22-17-03.279000,"""Sensor: 1. RSSI: 60"""
22-17-03.285000,"""Sensor: 2. RSSI: 69"""
22-17-03.285000,"""COUNT 1 1"
22-17-03.286000,[0] 0 0
22-17-03.286000,""""
22-17-03.288000,"""Sensor: 1. RSSI: 60"""
22-17-03.295000,"""COUNT 1 0"
22-17-03.296000,[0] 0 0
22-17-03.297000,""""
22-17-03.297000,"""Sensor: 1. RSSI: 60"""
22-17-03.300000,"""Sensor: 2. RSSI: 69"""
22-17-03.306000,"""COUNT 1 1"
22-17-03.306000,[0] 0 0
22-17-03.307000,""""
22-17-03.309000,"""Sensor: 1. RSSI: 60"""
22-17-03.314000,"""Sensor: 2. RSSI: 69"""
22-17-03.316000,"""COUNT 1 1"
22-17-03.316000,[0] 0 0
22-17-03.316000,""""
22-17-03.317000,"""Sensor: 1. RSSI: 60"""
22-17-03.321000,"""Sensor: 2. RSSI: 69"""
22-17-03.327000,"""COUNT 1 1"
22-17-03.327000,[0] 0 67
22-17-03.328000,""""
22-17-03.330000,"""Sensor: 2. RSSI: 68"""
22-17-03.334000,"""Sensor: 1. RSSI: 59"""
