20-54-14.519000,S 1 	RSSI: 64
20-54-14.522000,[R]: 51 
20-54-14.542000,[R]: 51 
20-54-14.552000,S 1 	RSSI: 64
20-54-14.555000,[R]: 51 
20-54-14.572000,S 1 	RSSI: 63
20-54-14.577000,S 1 	RSSI: 64
20-54-14.579000,[R]: 51 
20-54-14.604000,[R]: 51 
20-54-14.621000,S 1 	RSSI: 64
20-54-14.624000,[R]: 51 
20-54-14.644000,S 1 	RSSI: 63
20-54-14.645000,[R]: 51 
20-54-14.662000,S 1 	RSSI: 64
20-54-14.666000,[R]: 51 
20-54-14.683000,S 1 	RSSI: 64
20-54-14.686000,[R]: 51 
20-54-14.704000,S 1 	RSSI: 64
20-54-14.706000,[R]: 51 
20-54-14.731000,[R]: 51 
20-54-14.780000,[R]: 51 
20-54-14.798000,S 1 	RSSI: 64
20-54-14.801000,S 1 	RSSI: 65
20-54-14.805000,[R]: 51 
20-54-14.822000,S 1 	RSSI: 65
20-54-14.827000,S 1 	RSSI: 65
20-54-14.830000,[R]: 51 
20-54-14.848000,S 1 	RSSI: 65
20-54-14.852000,S 1 	RSSI: 65
20-54-14.855000,[R]: 51 
20-54-14.872000,S 1 	RSSI: 66
20-54-14.874000,[R]: 51 
20-54-14.895000,[R]: 51 
20-54-14.915000,[R]: 51 
20-54-14.923000,S 1 	RSSI: 66
20-54-14.935000,[R]: 51 
20-54-14.945000,S 1 	RSSI: 68
20-54-14.956000,[R]: 51 
20-54-14.965000,S 1 	RSSI: 66
20-54-14.977000,[R]: 51 
20-54-14.997000,[R]: 51 
20-54-15.017000,[R]: 51 
20-54-15.030000,[R]: 51 
20-54-15.050000,[R]: 51 
20-54-15.068000,S 1 	RSSI: 65
20-54-15.071000,[R]: 51 
20-54-15.076000,S 1 	RSSI: 65
20-54-15.081000,[R]: 51 
20-54-15.096000,S 1 	RSSI: 65
20-54-15.100000,[R]: 51 
20-54-15.120000,[R]: 51 
20-54-15.124000,S 1 	RSSI: 66
20-54-15.141000,[R]: 51 
20-54-15.145000,S 1 	RSSI: 66
