09-47-55.022000,S 1 	RSSI: 60
09-47-55.025000,[R]: 51 
09-47-55.026000,S 1 	RSSI: 60
09-47-55.028000,[R]: 51 
09-47-55.030000,S 1 	RSSI: 61
09-47-55.035000,[R]: 51 
09-47-55.036000,S 1 	RSSI: 61
09-47-55.036000,S 1 	RSSI: 61
09-47-55.037000,[R]: 51 
09-47-55.038000,S 1 	RSSI: 61
09-47-55.040000,[R]: 51 
09-47-55.042000,S 1 	RSSI: 62
09-47-55.043000,[R]: 51 
09-47-55.043000,S 1 	RSSI: 62
09-47-55.043000,[R]: 51 
09-47-55.044000,S 1 	RSSI: 62
09-47-55.044000,[R]: 51 
09-47-55.045000,S 1 	RSSI: 62
09-47-55.046000,[R]: 51 
09-47-55.051000,S 1 	RSSI: 62
09-47-55.055000,[R]: 51 
09-47-55.059000,S 1 	RSSI: 62
09-47-55.062000,[R]: 51 
09-47-55.068000,S 1 	RSSI: 62
09-47-55.072000,S 1 	RSSI: 62
09-47-55.075000,[R]: 51 
09-47-55.083000,[R]: 51 
09-47-55.091000,[R]: 51 
09-47-55.101000,[R]: 51 
09-47-55.105000,S 1 	RSSI: 62
09-47-55.109000,[R]: 51 
09-47-55.113000,S 1 	RSSI: 62
09-47-55.116000,[R]: 51 
09-47-55.121000,S 1 	RSSI: 62
09-47-55.124000,[R]: 51 
09-47-55.130000,S 1 	RSSI: 62
09-47-55.132000,[R]: 51 
09-47-55.137000,S 1 	RSSI: 62
09-47-55.141000,S 1 	RSSI: 62
09-47-55.144000,[R]: 51 
09-47-55.149000,S 1 	RSSI: 62
09-47-55.152000,[R]: 51 
09-47-55.160000,[R]: 51 
09-47-55.166000,S 1 	RSSI: 62
09-47-55.168000,[R]: 51 
09-47-55.174000,S 1 	RSSI: 62
09-47-55.177000,[R]: 51 
09-47-55.182000,S 1 	RSSI: 62
09-47-55.185000,[R]: 51 
09-47-55.191000,S 1 	RSSI: 62
09-47-55.193000,[R]: 51 
09-47-55.201000,S 1 	RSSI: 62
09-47-55.204000,[R]: 51 
09-47-55.208000,S 1 	RSSI: 62
09-47-55.212000,S 1 	RSSI: 62
09-47-55.214000,[R]: 51 
09-47-55.220000,S 1 	RSSI: 62
09-47-55.224000,[R]: 51 
09-47-55.231000,[R]: 51 
09-47-55.236000,S 1 	RSSI: 63
09-47-55.239000,[R]: 51 
09-47-55.244000,S 1 	RSSI: 62
09-47-55.247000,[R]: 51 
09-47-55.253000,S 1 	RSSI: 62
09-47-55.256000,[R]: 51 
09-47-55.261000,S 1 	RSSI: 63
09-47-55.264000,[R]: 51 
09-47-55.269000,S 1 	RSSI: 63
09-47-55.272000,[R]: 51 
09-47-55.277000,S 1 	RSSI: 62
09-47-55.282000,S 1 	RSSI: 62
09-47-55.284000,[R]: 51 
09-47-55.290000,S 1 	RSSI: 62
09-47-55.293000,[R]: 51 
09-47-55.301000,[R]: 51 
09-47-55.306000,S 1 	RSSI: 62
09-47-55.309000,[R]: 51 
09-47-55.315000,S 1 	RSSI: 62
09-47-55.317000,[R]: 51 
09-47-55.323000,S 1 	RSSI: 62
09-47-55.326000,[R]: 51 
09-47-55.331000,S 1 	RSSI: 62
09-47-55.334000,[R]: 51 
09-47-55.339000,S 1 	RSSI: 62
09-47-55.342000,[R]: 51 
09-47-55.348000,S 1 	RSSI: 62
09-47-55.353000,S 1 	RSSI: 62
09-47-55.355000,[R]: 51 
09-47-55.359000,S 1 	RSSI: 62
09-47-55.363000,[R]: 51 
09-47-55.371000,[R]: 51 
09-47-55.376000,S 1 	RSSI: 63
